iso_o,country
AND,Andorra
AUS,Australia
AUT,Austria
BEL,Belgium
BMU,Bermuda
CAN,Canada
CHE,Switzerland
CYP,Cyprus
CZE,Czechia
DEU,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRA,France
GBR,United Kingdom
GRC,Greece
GRL,Greenland
HKG,"Hong Kong SAR, China"
HRV,Croatia
IRL,Ireland
ISL,Iceland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,"Korea, Rep."
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
MAC,"Macao SAR, China"
MLT,Malta
NCL,New Caledonia
NLD,Netherlands
NOR,Norway
NZL,New Zealand
PRK,"Korea, Dem. People's Rep."
PRT,Portugal
PYF,French Polynesia
SGP,Singapore
SVK,Slovak Republic
SVN,Slovenia
SWE,Sweden
USA,United States
