iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp
AFG,Afghanistan,2004,5224896718.68,221.76,23560654.0,,22.37670086784211,,Afghanistan,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0,2004,5.4015956,16.975088,0.10894442,0.14471436
ALB,Albania,2004,7406645793.44,2446.91,3026939.0,65.04,22.7256435143184,4.175002465239555,Albania,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0,2004,7.8025813,14.923062,0.24840355,0.24422455
DZA,Algeria,2004,91913680985.17,2816.99,32628286.0,61.36,25.24411572340206,4.116758157059,Algeria,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0,2004,7.9434242,17.30069,0.20984125,0.22380638
AND,Andorra,2004,2900245324.49,39021.13,74325.0,,21.78806116501264,,Andorra,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0,2004,10.571858,11.216203,0.13587475,0.20319748
AGO,Angola,2004,23552057679.5,1266.21,18600423.0,103.58,23.88247902851756,4.640344260995746,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0,2004,7.1437836,16.738695,0.24335527,0.27930069
ATG,Antigua and Barbuda,2004,1026329629.63,13037.89,78719.0,,20.74925480853926,,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0,2004,9.4756145,11.27364,0.068619728,0.079282761
ARG,Argentina,2004,164657930452.79,4242.02,38815916.0,40.69,25.827136010128388,3.7059823620135983,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0,2004,8.3527946,17.47434,0.24493027,0.25507164
ARM,Armenia,2004,3576615240.42,1130.09,3164900.0,73.07,21.99768272655659,4.291417885803126,Armenia,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0,2004,7.0300527,14.967632,0.24782658,0.24227905
ABW,Aruba,2004,2254830726.26,23700.63,95138.0,132.43,21.53634074112337,4.8860542039388735,Aruba,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0,2004,10.073256,11.463084,0.076757431,0.098112106
AUS,Australia,2004,614659980082.52,30836.73,19932722.0,37.01,27.144335073944976,3.6111881463980646,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0,2004,10.336462,16.807873,0.26246738,0.27315903
AUT,Austria,2004,299210411454.82,36614.25,8171966.0,91.47,26.424412880084425,4.516011049668273,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0,2004,10.508193,15.91622,0.13126659,0.13747215
AZE,Azerbaijan,2004,8680405740.94,1045.01,8306500.0,121.51,22.884334108874118,4.79999656392052,Azerbaijan,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0,2004,6.9517817,15.932549,0.1676755,0.17642975
BHS,"Bahamas, The",2004,9055290000.0,26650.29,339782.0,76.0,22.92661495427364,4.330733340286331,The Bahamas,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0,2004,10.190556,12.736059,0.0083341599,0.020664215
BHR,Bahrain,2004,13150159574.47,15963.95,823741.0,140.74,23.29969973043724,4.946914216538403,Bahrain,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0,2004,9.6780882,13.621612,0.097147942,0.17176056
BGD,Bangladesh,2004,65108544250.04,455.61,142902856.0,26.86,24.89932162562915,3.290638191095092,Bangladesh,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0,2004,6.1216373,18.777676,0.065438747,0.07906723
BRB,Barbados,2004,3444500000.0,12886.37,267298.0,,21.960044592997523,,Barbados,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0,2004,9.4639254,12.496119,0.064953804,0.070663452
BLR,Belarus,2004,23141566292.95,2378.34,9730146.0,142.14,23.864896244102734,4.956812487398749,Belarus,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0,2004,7.774158,16.09074,0.26782465,0.26100349
BEL,Belgium,2004,369214712443.21,35429.41,10421137.0,136.92,26.634644188302293,4.919396813661985,Belgium,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0,2004,10.475298,16.159348,0.1447401,0.14906693
BLZ,Belize,2004,1400850000.0,5156.1,271688.0,86.34,21.06034503218811,4.458292990127331,Belize,0,America,17.216667,-88.800003,English,GBR,Emerging and Developing Economies,0.0,2004,8.5479355,12.512409,0.038352966,0.067892075
BEN,Benin,2004,6190270380.5,758.7,8159094.0,39.9,22.54624460289898,3.686376323895818,Benin,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0,2004,6.6316066,15.914643,0.11541367,0.14602089
