iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp
AFG,Afghanistan,2006,6971758282.29,274.22,25424094.0,,22.665133294222624,,Afghanistan,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0,2006,5.6139307,17.051208,0.075888157,0.11679268
ALB,Albania,2006,9150528132.18,3057.77,2992547.0,72.2,22.93707743393208,4.279440045898781,Albania,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0,2006,8.0254412,14.911635,0.10910034,0.10279083
DZA,Algeria,2006,123084258693.01,3660.66,33623506.0,65.92,25.53613498781733,4.188441885601216,Algeria,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0,2006,8.2053986,17.330736,0.12419224,0.13960457
AND,Andorra,2006,3459337986.88,43467.21,79585.0,,21.96434307443782,,Andorra,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0,2006,10.679762,11.284581,0.062594414,0.090162277
AGO,Angola,2006,52381025141.43,2617.05,20015279.0,94.63,24.68181024707215,4.549974550520141,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0,2006,7.869803,16.812006,0.31156254,0.34841347
ATG,Antigua and Barbuda,2006,1303674074.07,16173.81,80604.0,,20.988452326012013,,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0,2006,9.6911488,11.297303,0.11835003,0.13074684
ARG,Argentina,2006,232557260817.31,5869.38,39622115.0,40.43,26.172402314736328,3.6995720836526793,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0,2006,8.6775045,17.494898,0.14687252,0.15715218
ARM,Armenia,2006,6384452066.51,2041.65,3127100.0,61.03,22.577131507010083,4.111365546556404,Armenia,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0,2006,7.6215134,14.955617,0.27068901,0.264534
ABW,Aruba,2006,2469782681.56,24845.66,99405.0,141.04,21.627396000541463,4.949043538089615,Aruba,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0,2006,10.120439,11.506958,0.027495384,0.045461655
AUS,Australia,2006,748417562769.64,36595.71,20450966.0,41.56,27.341226898160308,3.727138166231027,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0,2006,10.507687,16.83354,0.059558868,0.07305336
AUT,Austria,2006,333905979332.48,40382.21,8268641.0,98.79,26.53412529129028,4.592996385056383,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0,2006,10.606145,15.92798,0.056671143,0.061616898
AZE,Azerbaijan,2006,20981929497.62,2472.96,8484550.0,105.26,23.76692740411375,4.656433479925633,Azerbaijan,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0,2006,7.8131709,15.953757,0.44902277,0.46001053
BHS,"Bahamas, The",2006,10167250000.0,29184.79,348375.0,87.55,23.042437607294847,4.472210058731861,The Bahamas,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0,2006,10.281403,12.761035,0.020155907,0.033103943
BHR,Bahrain,2006,18504760638.3,19267.28,960424.0,147.1,23.641293867726542,4.991112627607392,Bahrain,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0,2006,9.8661633,13.77513,0.069917679,0.14739609
BGD,Bangladesh,2006,71795736172.16,490.39,146405973.0,38.11,24.997090926448383,3.640476714885769,Bangladesh,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0,2006,6.1952009,18.801893,0.02122736,0.032844543
BRB,Barbados,2006,4217323400.0,15619.6,270002.0,,22.162466498360093,,Barbados,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0,2006,9.6562815,12.506185,0.094268799,0.099081039
BLR,Belarus,2006,36961894281.34,3848.22,9604924.0,124.3,24.333153334607303,4.822697998516666,Belarus,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0,2006,8.2553663,16.077785,0.20783424,0.20171165
BEL,Belgium,2006,408259840868.82,38705.11,10547958.0,149.57,26.73516967351276,5.007764510671235,Belgium,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0,2006,10.563726,16.171442,0.050209999,0.056806564
BLZ,Belize,2006,1591150000.0,5527.17,287878.0,98.86,21.18772286218479,4.593704707878813,Belize,0,America,17.216667,-88.800003,English,GBR,Emerging and Developing Economies,0.0,2006,8.6174316,12.570292,0.047125816,0.075832367
BEN,Benin,2006,7034111314.89,809.15,8693242.0,39.77,22.67403719613457,3.6831128592196,Benin,0,Africa,6.5,2.7833333,French,FRA,Emerging and Developing Economies,0.0,2006,6.6959844,15.978057,0.037408829,0.06861496
BMU,Bermuda,2006,6144000000.0,97781.46,62834.0,,22.538741832791786,,Bermuda,0,America,32.299999,-64.800003,English,GBR,,1.0,2006,11.49049,11.048251,0.2308054,0.2327652
BTN,Bhutan,2006,942879878.54,1405.61,670799.0,108.16,20.66444945023578,4.683611612294654,Bhutan,1,Asia,27.533333,89.75,Burmese,,Emerging and Developing Economies,0.0,2006,7.2482266,13.416224,0.078145504,0.091552734
BOL,Bolivia,2006,11451844902.22,1202.71,9521689.0,74.54,23.161416680798567,4.311335894051113,Bolivia,1,America,-16.5,-68.166664,Spanish,ESP,Emerging and Developing Economies,0.0,2006,7.0923324,16.069082,0.16465664,0.18170166
BIH,Bosnia and Herzegovina,2006,12864841905.95,3166.13,4063272.0,79.83,23.27776399391048,4.379899373657707,Bosnia and Herzegovina,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR,Emerging and Developing Economies,0.0,2006,8.0602655,15.217499,0.14469481,0.1365509
BWA,Botswana,2006,9919158482.41,5291.58,1874516.0,86.61,23.017733924242677,4.461415282342953,Botswana,1,Africa,-24.75,25.916666,English,GBR,Emerging and Developing Economies,0.0,2006,8.5738726,14.443861,-0.018626213,2.6702881e-05
BRA,Brazil,2006,1107626541434.92,5934.14,186653106.0,26.04,27.733240590970663,3.2596338173403683,Brazil,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0,2006,8.6884775,19.044762,0.20633602,0.21691895
BRN,Brunei Darussalam,2006,12644616446.19,34674.8,364663.0,81.57,23.260497384159905,4.401461547312489,Brunei Darussalam,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0,2006,10.453769,12.806729,0.16548634,0.18137169
BGR,Bulgaria,2006,34380536495.67,4523.15,7601022.0,111.05,24.260756441656323,4.709980550340436,Bulgaria,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0,2006,8.4169636,15.843793,0.14827538,0.14068031
BFA,Burkina Faso,2006,6547419820.38,455.51,14373707.0,35.11,22.60233688843382,3.558485990180341,Burkina Faso,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0,2006,6.1214175,16.480911,0.032010078,0.063211441
BDI,Burundi,2006,1273375078.45,161.89,7865547.0,42.4,20.964936754482437,3.747148362237912,Burundi,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0,2006,5.0869169,15.878002,0.094921112,0.13092422
CPV,Cabo Verde,2006,1107571457.91,2257.0,490728.0,117.82,20.82543557961702,4.7691580360935415,Cabo Verde,0,Africa,14.916667,-23.5,Portuguese,PRT,Emerging and Developing Economies,0.0,2006,7.7217917,13.103645,0.11881638,0.1303215
KHM,Cambodia,2006,8350531016.66,612.25,13639028.0,140.35,22.84559096859669,4.944139302807892,Cambodia,0,Asia,11.583333,104.91666,Khmer,FRA,Emerging and Developing Economies,0.0,2006,6.4171405,16.428446,0.15221977,0.16698837
CMR,Cameroon,2006,20910512974.93,1191.45,17550407.0,47.1,23.76351788260301,3.852273001022372,Cameroon,0,Africa,3.8499999,11.516666,French,FRA,Emerging and Developing Economies,0.0,2006,7.0829263,16.680588,0.041847229,0.069332123
CAN,Canada,2006,1319264809590.97,40504.04,32571193.0,68.05,27.908095734934555,4.220242729097475,Canada,0,America,45.419998,-75.709999,English,GBR,Advanced Economies,1.0,2006,10.609157,17.298939,0.10728168,0.11741829
CAF,Central African Republic,2006,1461859762.33,333.94,4377579.0,36.4,21.102975271874303,3.594568774642695,Central African Republic,1,Africa,4.3833332,18.616667,French,FRA,Emerging and Developing Economies,0.0,2006,5.8109612,15.292006,0.068118095,0.08861351
TCD,Chad,2006,9709626596.13,906.9,10706424.0,77.08,22.996383662910823,4.344843843546165,Chad,1,Africa,12.166667,14.983334,French,FRA,Emerging and Developing Economies,0.0,2006,6.8100324,16.186354,0.078907013,0.1148777
CHL,Chile,2006,153843518170.86,9318.66,16509195.0,73.71,25.759201806990795,4.300138475201197,Chile,0,America,-33.5,-70.666664,Spanish,ESP,Emerging and Developing Economies,0.0,2006,9.1397743,16.619429,0.21974373,0.22950554
CHN,China,2006,2791498472804.33,2129.26,1311020000.0,63.57,28.65759965460885,4.152141660948318,China,0,Asia,39.916668,116.43333,Chinese,,Emerging and Developing Economies,0.0,2006,7.6635299,20.994072,0.18048811,0.18606758
COL,Colombia,2006,161792958904.86,3789.85,42691084.0,39.64,25.80958332334862,3.6798387094617873,Colombia,0,America,4.6333332,-75.066666,Spanish,ESP,Emerging and Developing Economies,0.0,2006,8.2400818,17.5695,0.092194557,0.10545158
COM,Comoros,2006,698431793.87,1154.9,604753.0,35.76,20.36434808532233,3.576829950305313,Comoros,0,Africa,-11.666667,43.266666,Arabic,FRA,Emerging and Developing Economies,0.0,2006,7.0517693,13.312575,0.045789719,0.065965652
COG,"Congo, Rep.",2006,8072305029.07,2103.58,3837409.0,125.6,22.81170490782067,4.833102254034098,Republic of Congo,0,Africa,-4.2333331,15.233334,French,FRA,Emerging and Developing Economies,0.0,2006,7.6513958,15.160308,0.15638161,0.19382095
CRI,Costa Rica,2006,22715540324.3,5256.6,4321340.0,89.81,23.84631512298911,4.497696327682858,Costa Rica,0,America,9.9833336,-84.066666,Spanish,ESP,Emerging and Developing Economies,0.0,2006,8.5672398,15.279076,0.11128139,0.12528801
CIV,Cote d'Ivoire,2006,25281413263.37,1230.43,20546802.0,63.69,23.95333530906793,4.1540275643832745,Côte d'Ivoire,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0,2006,7.115119,16.838217,0.026918888,0.050477982
HRV,Croatia,2006,49590197656.55,11502.75,4311159.0,83.51,24.62705902325419,4.424966385165138,Croatia,0,Europe,45.799999,15.966666,Serbo-Croatian,AUT,Advanced Economies,1.0,2006,9.3503418,15.276717,0.096603394,0.096839905
CUB,Cuba,2006,48835925925.93,4329.98,11278550.0,37.19,24.611732065959544,3.6160399079369783,Cuba,0,America,23.116667,-82.416664,Spanish,ESP,,0.0,2006,8.3733187,16.238413,0.13416386,0.13558388
CYP,Cyprus,2006,20072754986.83,26729.28,1054418.0,109.81,23.72262925923449,4.698751599609622,Cyprus,0,Europe,35.150002,33.349998,Greek,GBR,Advanced Economies,1.0,2006,10.193515,13.8685,0.068514824,0.085199356
CZE,Czechia,2006,156236258386.59,15259.08,10238905.0,127.05,25.774635175369596,4.8445807097661735,Czech Republic,1,Europe,50.099998,14.433333,Czech,AUT,Advanced Economies,1.0,2006,9.6329298,16.141705,0.12675381,0.12946129
DNK,Denmark,2006,283386151543.69,52119.18,5437272.0,97.43,26.37007629760216,4.57913417143725,Denmark,0,Europe,55.666668,12.583333,Danish,,Advanced Economies,1.0,2006,10.861288,15.508788,0.063227654,0.066514969
DJI,Djibouti,2006,768873684.03,898.46,855764.0,,20.46043725393875,,Djibouti,0,Africa,11.6,43.150002,French,FRA,Emerging and Developing Economies,0.0,2006,6.8006821,13.65975,0.06199646,0.081588745
DMA,Dominica,2006,416674074.07,6055.78,68806.0,,19.847814877202488,,Dominica,0,America,15.3,-61.383335,English,GBR,Emerging and Developing Economies,0.0,2006,8.7087688,11.139047,0.061386108,0.062431335
DOM,Dominican Republic,2006,37879830084.26,4055.14,9341183.0,63.77,24.357684619622237,4.155282860327181,Dominican Republic,0,America,18.5,-69.783333,Spanish,FRA,Emerging and Developing Economies,0.0,2006,8.3077402,16.049944,0.044585228,0.057098389
ECU,Ecuador,2006,45690762000.0,3243.67,14086131.0,65.84,24.545161969992503,4.187227556368814,Ecuador,0,America,-0.23333333,-78.5,Spanish,ESP,Emerging and Developing Economies,0.0,2006,8.0844603,16.460701,0.10888529,0.12607002
EGY,"Egypt, Arab Rep.",2006,107426086956.52,1298.98,82700403.0,61.52,25.40006888483899,4.119362325197389,Egypt,0,Africa,30.049999,31.25,Arabic,GBR,Emerging and Developing Economies,0.0,2006,7.1693344,18.230736,0.16124535,0.18077469
