iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,Unnamed: 0_x,pageRank_unique.name,pageRank_unique.wpr,close_unique.name,close_unique.closeness,outdegree_unique.name,outdegree_unique.degree,indegree_unique.name,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,Unnamed: 0_y,pageRank_repro.name,pageRank_repro.wpr,close_repro.name,close_repro.closeness,outdegree_repro.name,outdegree_repro.degree,indegree_repro.name,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,Unnamed: 0,pageRank_total.name,pageRank_total.wpr,close_total.name,close_total.closeness,outdegree_total.name,outdegree_total.degree,indegree_total.name,indegree_total.degree,local_clust_tt_total,local_clust_out_total
AFG,Afghanistan,2007,9747886187.39,376.22,25909852.0,,23.00031629715804,,Afghanistan,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0,2007,5.9301739,17.070133,0.31624317,0.3351841,2,2,0.0080185904370027,2,138.266971187939,2,7.64038521704023,2,16.6458937682644,0.529906428480229,0.622961342410075,2,2,0.003072779018787,2,117.156395498409,2,4.79779017605505,2,108.210589969495,0.972017510540608,0.943166963755199,2,2,0.0023262858703007,2,8493.91553163865,2,126.238218520719,2,736.46200996301,0.939080614719031,0.966207006569268
ALB,Albania,2007,11116937869.86,3743.06,2970017.0,79.91,23.13173571643171,4.380901001386372,Albania,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0,2007,8.2276592,14.904078,0.20221806,0.19465828,4,4,0.0014553545319989,4,49.2842541783041,4,2.32912150542093,4,2.00359381158283,0.971119099152357,0.991617587031314,4,4,0.0020650941310145,4,1665.63818073873,4,16.9544510233007,4,82.0869595743924,0.964703628351963,0.97835726731928,4,4,0.0022731541361597,4,19955.6644943985,4,257.839250760073,4,659.046278833725,0.984339314871981,0.99269242781528
DZA,Algeria,2007,142482739809.85,4167.45,34189416.0,67.55,25.682486705177592,4.212868064406208,Algeria,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0,2007,8.3350601,17.347427,0.12966156,0.14635277,49,49,0.0014548236970438,49,121.311860745479,49,3.37012675680768,49,1.91688639109162,0.942273283833757,0.923494850805387,51,51,0.0037621595831441,51,789.809401540754,51,12.5659342413701,51,450.37556547863,0.973599564605395,0.952485533073117,51,51,0.0034598879852406,51,90275.5610493516,51,6733.05405713371,51,3421.92726100913,0.985964755620663,0.988049567426865
AND,Andorra,2007,3957625367.22,48336.23,81877.0,,22.09891002760556,,Andorra,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0,2007,10.785936,11.312973,0.10617447,0.13456535,5,5,0.0016600753919067,5,40.2762482890605,5,1.93664385377362,5,6.02750372776848,0.960455722328041,1.0,5,5,0.0017971876703627,5,1541.7086922737,5,22.7517666231773,5,82.3216222266975,0.983200695129969,0.971627326503288,5,5,0.001986199713711,5,4504.36923091115,5,49.4221451456997,5,374.015059836025,0.993447821951397,0.976457853088346
AGO,Angola,2007,65266415494.26,3141.05,20778561.0,108.06,24.90174342996476,4.68268662841592,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0,2007,8.0523129,16.849432,0.1825099,0.21993256,3,3,0.0023973550452632,3,1.12312979296299,3,1.39438703449446,3,2.81784957232514,0.671488712946761,0.75,3,3,0.0075647002046334,3,437.970176337228,3,8.37152130040065,3,250.863407095319,0.92507438128665,0.885785538272928,3,3,0.0036198495463631,3,83012.6286978071,3,4898.83151307489,3,1723.21251862683,0.972166670822531,0.99250641017313
ATG,Antigua and Barbuda,2007,1487381481.48,18204.51,81704.0,,21.120283015893765,,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0,2007,9.8094244,11.310858,0.11827564,0.13183022,9,9,0.0016876863133746,9,42.4040554081449,9,2.14730109124003,9,1.97892955768136,0.917648308037403,0.902678923450437,9,9,0.0019904112907808,9,337.5865256324,9,6.70971616043844,9,31.4651070332854,0.959503627014781,0.94639162431444,9,9,0.002268250086011,9,5385.15821854016,9,66.112878880578,9,381.89077549821,0.975490323471766,0.97003703395391
ARG,Argentina,2007,287530508430.57,7185.25,40016763.0,40.95,26.384594807834127,3.7123518102990793,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0,2007,8.8797855,17.504808,0.202281,0.21219254,7,7,0.0023418650471033,7,280.991658105466,7,11.1189239067316,7,5.88188667635741,0.946497055517193,0.944581997788794,7,7,0.0053121858494604,7,5328.78598641307,7,184.297959264965,7,971.313678147365,0.952322762998116,0.816051335618797,7,7,0.0039497674383481,7,63389.6297300644,7,6252.65352150124,7,4440.49922949968,0.960764567649456,0.942212388452136
ARM,Armenia,2007,9206301269.79,2962.7,3107400.0,56.98,22.94315400717967,4.0427003290697625,Armenia,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0,2007,7.9938564,14.949297,0.37234306,0.36602211,8,8,0.0021742266788071,8,281.309227703236,8,8.6172319334365,8,5.71590515838492,0.957969544949841,0.999465835851118,8,8,0.0021209961793449,8,750.137286208904,8,26.220503693913,8,60.4271663784832,0.921223990753869,0.762848241056265,8,8,0.0021212329521631,8,8978.59767935922,8,267.715308900092,8,503.964501138338,0.97158057051724,0.96402044950177
ABW,Aruba,2007,2677641340.78,26736.31,100150.0,139.97,21.7082021472328,4.941428113932554,Aruba,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0,2007,10.193778,11.514424,0.073339462,0.080806732,1,1,0.0023231709521629,1,28.1458130607771,1,1.96185860528058,1,5.25168105775978,0.919934162065881,0.941207808516306,1,1,0.0017873971756025,1,330.972317641192,1,7.32411246726946,1,31.0364683821077,0.975346543093314,0.839547532356975,1,1,0.0019289002785954,1,43612.4630870057,1,789.095554469712,1,582.15132989883,0.989584794772244,0.98624796485573
AUS,Australia,2007,855007458585.22,41051.61,20827622.0,42.01,27.474376029336607,3.73790768518129,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0,2007,10.622585,16.851791,0.11489868,0.1331501,10,10,0.0097596427690215,10,499.848769136173,10,38.7362681551351,10,51.9666353141086,0.812964959900417,0.825654239345675,10,10,0.0103300157781904,10,8150.06490519837,10,584.24094144677,10,2449.24722654223,0.917901731813441,0.839886917880309,10,10,0.0106939745889398,10,101491.431015953,10,12762.1308835662,10,12632.0726314647,0.96581727912263,0.966651560549612
