iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,Unnamed: 0,pageRank_total.name,pageRank_total.wpr,close_total.name,close_total.closeness,outdegree_total.name,outdegree_total.degree,indegree_total.name,indegree_total.degree,local_clust_tt_total,local_clust_out_total
AFG,Afghanistan,2020,19955929052.15,510.79,39068979.0,46.71,23.71679213172491,3.8439582745140166,Afghanistan,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0,2020,6.2359586,17.480839,0.028173923,0.059700012,0.0010995162056979,78.7016955113567,2.74169984120452,1.3607738452562,0.883021322780927,0.904132551926226,0.0030012466233577,235.43204916112,5.70471220572012,160.856704606113,0.9830616784864,0.963814311494126,2,2,0.0021801307216132,2,19752.671353133,2,369.64633748279,2,1122.79906851535,0.963044185869238,0.990537639931285
ALB,Albania,2020,15241455556.37,5370.78,2837849.0,59.52,23.447284891592385,4.086312390524837,Albania,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0,2020,8.588728,14.858557,-0.016554832,-0.022296906,0.0018052231335381,44.5071745361608,2.18104851003537,1.8938568183491,0.992112729072418,0.988410915547321,0.0018854415249068,3295.95076074139,48.6337018709822,121.338042838971,0.982799226504953,0.979164845981157,4,4,0.002237583355972,4,28218.7292043371,4,446.016207217943,4,858.63457827197,0.98593123415159,0.987931967437236
DZA,Algeria,2020,164873415325.2,3743.54,44042091.0,40.39,25.828443836566663,3.6985822295753215,Algeria,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0,2020,8.227787,17.600657,-0.17700958,-0.15989113,0.0012399440600335,13.2220777598269,1.8549741740019,1.92944677656736,0.92159482246764,0.787852246763138,0.0048305826787538,302.97755502638,10.2150361110822,525.257334006115,0.976374747398896,0.949513697235717,51,51,0.0034106541208809,51,52659.703914879,51,3094.51005451308,51,4066.28853956335,0.986355669316046,0.990468527196555
AND,Andorra,2020,2891001149.36,37361.09,77380.0,,21.7848686975454,,Andorra,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0,2020,10.528385,11.256484,-0.099210739,-0.087432861,0.0049801291201278,350.419660766198,15.1796952848015,92.9685061958825,0.972491368211665,0.979697659062599,0.0016628951156449,1764.52960340493,18.5000570278953,39.214330849112,0.981128083037955,0.959014613367792,5,5,0.0019364008041504,5,4005.65758249247,5,44.6194036368321,5,281.140618885735,0.996573835560155,0.984174061817475
AGO,Angola,2020,48501561203.57,1449.92,33451132.0,65.94,24.604861824136098,4.188745237643585,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0,2020,7.2792635,17.325596,-0.41232967,-0.37964439,0.0019991614180951,14.6026604084516,2.13270202673955,2.65011954659544,0.783914740479037,0.753832417582417,0.0033608367885763,539.10325116721,8.79198891621718,187.120934658503,0.960186420206816,0.932623585550813,3,3,0.0026339731506468,3,102424.572861781,3,2990.06058733521,3,1267.69089585312,0.987447875489159,0.991159214143093
ATG,Antigua and Barbuda,2020,1411637037.04,15369.61,91846.0,94.29,21.068015887052244,4.546375139477586,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0,2020,9.6401472,11.427869,-0.20657825,-0.20131683,0.0016150156092486,48.1594585998122,2.16274935907392,2.03876837136228,0.99457560882048,0.996548428207307,0.0019114212590271,58.1800267350843,3.14470968287088,18.0637917893698,0.979988935821144,0.924168396203648,9,9,0.0021756460434013,9,6150.16702907784,9,69.9075071794669,9,218.035756154926,0.974960605004314,0.934682968736799
ARG,Argentina,2020,385740508436.96,8535.6,45191965.0,30.2,26.678430722409217,3.407841924380824,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0,2020,9.052001,17.626431,-0.15392685,-0.14908028,0.0020301997234343,203.781815659296,10.064804499043,6.92411513042632,0.978286440159017,0.970454173792565,0.004696448547379,2205.84191336124,56.8259462561411,824.626341793621,0.97065884028895,0.869593917780318,7,7,0.0037609978924094,7,75976.280411819,7,6285.6167867942,7,4411.68181669351,0.964215281307152,0.956616209634335
ARM,Armenia,2020,12641698583.22,4268.68,2961500.0,69.49,23.260266598220586,4.241182857326236,Armenia,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0,2020,8.3590603,14.901206,-0.074149132,-0.074485779,0.0014473291113785,66.4917740336732,2.8134563340581,1.69147763893296,0.982044480718221,0.995248648214035,0.0022719183205296,816.400281507133,10.4091032697818,95.9935601619801,0.978847096410586,0.959463654905588,8,8,0.0022143196347724,8,21809.5439272789,8,584.450778345102,8,916.627523294643,0.956946789795746,0.972929749341977
ABW,Aruba,2020,2481857122.84,22855.93,108587.0,124.14,21.63227295673747,4.821409960985506,Aruba,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0,2020,10.036966,11.595307,-0.30787468,-0.31353188,0.0013727474302944,5.39495670923088,1.78704671264469,1.8318813918298,0.897854302648361,0.817642243143676,0.0015346229192805,156.694655723492,4.35727829955139,29.7565021309971,0.985168537267232,0.9337489366027,1,1,0.0016976277141006,1,5299.67043479864,1,53.926634271684,1,207.59402657921,0.989623468374028,0.98303172512637
AUS,Australia,2020,1328414058378.38,51791.54,25649248.0,44.66,27.91500690933367,3.799078246412012,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0,2020,10.854982,17.060024,-0.059609413,-0.047275543,0.0089810805695821,594.688671443936,61.6307307235329,45.2095655819322,0.774133297287599,0.778216080034696,0.0083463950442041,9997.18583522479,541.728568394417,3039.12135565181,0.942635136056581,0.862215529630444,10,10,0.009582067960802,10,186895.792399233,10,20054.3550803399,10,15591.6589710565,0.982976302264027,0.984706584425518
AUT,Austria,2020,434397601557.7,48716.41,8916864.0,99.95,26.79722608427488,4.604670060946409,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0,2020,10.793771,16.003454,-0.023724556,-0.019573212,0.0110249077989596,559.640474881465,59.8748417576289,69.684804319753,0.890574662213724,0.931721295483367,0.0075578648438664,29227.0991006407,2175.61254596933,2582.91842415428,0.925713481402481,0.920909319784411,11,11,0.0069412213448773,11,143088.281743633,11,13034.9696552962,11,12967.6814736759,0.977481243884255,0.974643515978996
AZE,Azerbaijan,2020,42693000000.0,4229.91,10093121.0,72.02,24.477300809316045,4.276943858220729,Azerbaijan,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0,2020,8.3499365,16.127365,-0.12763214,-0.12079048,0.0016274336078775,36.2370279885694,2.48616919220655,2.34076747114403,0.959699415797733,0.965987213117384,0.0026881252052929,1148.53489951605,20.032476861601,265.240848375944,0.960832683252236,0.909151661403436,12,12,0.002377635637696,12,55656.6019371208,12,2138.96682665091,12,1474.73999478421,0.981858584570666,0.982972952213272
BHS,"Bahamas, The",2020,10363200000.0,26178.75,395863.0,53.42,23.061526906392928,3.978185207681815,The Bahamas,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0,2020,10.172704,12.888824,-0.25077724,-0.24777222,0.0027642963613668,88.9359542037052,3.75929962199381,24.0062394979506,0.995709043001024,0.999176922473936,0.0022563414958443,796.105257701659,7.86663363578064,74.1809816614297,0.983704212555559,0.987279604238979,20,20,0.0022949092817312,20,13053.8954568526,20,280.528841990441,20,1019.60685665338,0.987561001558042,0.980895658714855
BHR,Bahrain,2020,35837632978.72,24342.84,1472204.0,135.46,24.302264378751595,4.908676393786758,Bahrain,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0,2020,10.099993,14.202271,-0.11317348,-0.12098885,0.0023653386986717,74.4407283100459,2.9290651970455,4.29661308449579,0.915311752503305,0.935828621181243,0.0034370499926142,1809.65153411576,48.4179822798656,321.421733122609,0.950388191380674,0.833851066064113,19,19,0.0028395316849696,19,45960.4693295297,19,1759.8524637002,19,2096.16777458862,0.976306773271387,0.975177219315001
BGD,Bangladesh,2020,373979442362.19,2248.85,166298024.0,26.27,26.64746666590419,3.2684276036974484,Bangladesh,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0,2020,7.7181745,18.929293,0.054390907,0.062755585,0.0014966102557336,27.3200193893384,2.36612258928829,2.99065724305958,0.781470495853585,0.828291365721938,0.0030757243190875,1111.83675699605,31.2968815187779,701.691105597316,0.980558006911576,0.872318228630825,17,17,0.0041487420438759,17,72428.6464163655,17,4344.04910846165,17,5380.98117250107,0.986181906806517,0.98537674455958
BRB,Barbados,2020,5168344450.0,18347.11,281698.0,,22.36581825174746,,Barbados,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0,2020,9.8172274,12.548591,-0.11502934,-0.11328506,0.0022924472808276,11.6781807928262,1.83267947762112,2.23510675348362,0.878848331056022,0.876344086021505,0.002147348818229,778.267196702932,10.7894069831255,45.7151721925217,0.962634362741414,0.949630094336048,27,27,0.0023072112735023,27,3287.91540689582,27,89.7183303703563,27,325.768988841864,0.94637391924356,0.860375630939166
BLR,Belarus,2020,61371673344.74,6542.86,9379952.0,118.93,24.840214219469747,4.778535084739154,Belarus,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0,2020,8.78613,16.054085,-0.04408741,-0.048322678,0.0018034135953554,92.8044870908676,3.56246080767695,3.55241032000115,0.935511827416375,0.927897705904476,0.0040671376826916,6887.70745558996,271.436473001057,471.251063179373,0.934390733272619,0.892883566547772,22,22,0.0029657073456932,22,85624.1643101528,22,3347.12069751664,22,3602.88039992964,0.977960404586159,0.968400225192358
BEL,Belgium,2020,529694473501.79,45906.29,11538604.0,156.95,26.99556621218173,5.0559272832879625,Belgium,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0,2020,10.734358,16.261209,-0.017497063,-0.013189316,0.0127959305161511,857.445485036173,87.5526725926256,98.4762826467666,0.875771193861682,0.885988700596416,0.0090664030219146,19653.7355413226,1841.29262881075,2887.03753765851,0.946127253673844,0.922438972856985,14,14,0.0145800297611797,14,147196.899858437,14,23830.112312976,14,23900.5957026906,0.980750228853126,0.97941976753849
BLZ,Belize,2020,2042850000.0,5227.19,390812.0,81.82,21.43761172864735,4.404521712501253,Belize,0,America,17.216667,-88.800003,English,GBR,Emerging and Developing Economies,0.0,2020,8.5616293,12.875982,-0.16906929,-0.15623474,0.0013999389452425,13.8704964505181,1.60221682694858,1.6739719670221,0.938428733257813,0.999115826702034,0.001664667549649,68.3332691043176,3.26174066127311,18.9262614633624,0.987771716959093,0.96484588409007,23,23,0.0019178894981434,23,4648.45444656993,23,99.595816086611,23,237.935935596801,0.977357267198098,0.966922368615012
