iso_o,outdegree_unique.degree,indegree_unique.degree,pageRank_unique.wpr,close_unique.closeness,outdegree_repro.degree,indegree_repro.degree,pageRank_repro.wpr,close_repro.closeness,outdegree_total.degree,indegree_total.degree,pageRank_total.wpr,close_total.closeness
ABW,1.79,3.06,0.0,19.92,6.57,32.15,0.0,300.62,313.1,421.14,0.0,18612.32
AFG,4.58,9.57,0.0,98.28,7.21,162.57,0.0,260.19,206.28,1071.93,0.0,12299.68
AGO,2.08,2.92,0.0,21.61,9.67,265.58,0.0,420.19,4283.9,1840.2,0.0,96926.72
ALB,2.39,2.04,0.0,43.06,36.96,100.35,0.0,2501.14,374.91,714.41,0.0,24316.42
AND,5.87,8.13,0.0,109.21,16.97,55.62,0.0,1207.07,54.06,322.51,0.0,4867.73
ARE,38.6,64.06,0.01,377.93,1471.52,2879.32,0.02,12602.6,17188.79,14112.55,0.01,120190.12
ARG,12.95,8.0,0.0,292.45,122.08,940.37,0.01,3937.46,6312.81,4823.61,0.0,72493.67
ARM,3.03,3.37,0.0,67.24,28.46,91.99,0.0,1156.77,400.01,616.04,0.0,17127.05
ATG,1.91,2.22,0.0,27.69,9.9,19.57,0.0,299.55,141.33,306.5,0.0,11071.81
AUS,36.29,52.83,0.01,415.78,550.91,2574.25,0.01,8973.74,16486.93,14034.01,0.01,142995.07
AUT,72.19,78.37,0.01,658.61,2196.61,2320.24,0.01,24977.29,11758.72,12083.38,0.01,126198.05
AZE,3.07,3.63,0.0,53.76,12.8,200.32,0.0,469.18,2370.31,1285.45,0.0,57104.33
BDI,1.39,1.51,0.0,3.69,2.57,20.36,0.0,48.17,55.57,139.59,0.0,4385.38
BEL,81.02,86.14,0.01,785.67,2025.59,2648.42,0.01,18179.93,23558.35,24513.9,0.02,137493.4
BEN,2.26,2.37,0.0,35.07,4.62,102.37,0.0,186.35,273.1,793.57,0.0,11649.67
BFA,2.55,1.76,0.0,35.48,4.69,60.22,0.0,136.71,394.18,482.86,0.0,24450.31
BGD,2.32,2.59,0.0,25.53,26.37,476.86,0.0,1117.45,3145.79,3912.54,0.0,59681.74
BGR,4.34,3.38,0.0,91.95,407.53,521.97,0.0,9249.49,2565.89,3037.35,0.0,45342.4
BHR,3.15,4.68,0.0,60.79,39.12,224.05,0.0,1720.99,1728.96,1776.68,0.0,35858.06
BHS,21.24,36.58,0.0,374.05,15.1,70.54,0.0,1478.11,418.7,1266.3,0.0,19588.68
BIH,2.44,2.62,0.0,32.84,79.65,139.6,0.0,3711.57,716.22,1121.47,0.0,21287.83
BLR,2.55,2.75,0.0,40.81,207.65,371.02,0.0,5661.74,2963.73,3489.44,0.0,71995.38
BLZ,3.32,2.21,0.0,68.3,7.43,24.33,0.0,268.81,138.37,237.44,0.0,8789.07
BMU,3.05,9.97,0.0,79.61,4.07,48.85,0.0,208.8,105.89,539.97,0.0,8070.24
BOL,2.23,2.14,0.0,31.62,7.71,129.35,0.0,408.61,1137.7,928.37,0.0,34779.08
BRA,38.52,29.03,0.0,525.87,822.21,2548.19,0.01,13729.78,16043.7,12673.6,0.01,131532.72
BRB,2.17,2.61,0.0,25.42,15.73,45.31,0.0,861.49,139.39,388.78,0.0,7649.5
BRN,3.39,3.59,0.0,73.59,10.24,75.11,0.0,676.27,1265.02,675.78,0.0,44303.44
BTN,1.66,1.6,0.0,11.69,5.89,24.55,0.0,386.81,93.57,136.1,0.0,11704.41
BWA,2.08,1.99,0.0,18.13,33.79,95.56,0.0,1897.34,886.46,777.09,0.0,37255.76
CAF,1.72,1.09,0.0,18.54,3.06,16.15,0.0,98.78,48.79,91.42,0.0,3361.05
CAN,88.74,79.31,0.01,833.85,2306.86,4741.32,0.01,31254.37,29051.59,26349.06,0.02,179584.61
CHE,388.96,593.05,0.07,1213.72,1891.61,2028.24,0.01,23120.49,19651.26,18386.14,0.02,132668.25
CHL,6.93,7.78,0.0,196.36,82.46,905.23,0.0,2444.96,6494.57,5439.59,0.0,97538.79
CHN,155.71,93.39,0.01,935.05,31168.52,16820.63,0.04,70740.21,74948.91,58663.83,0.05,210886.42
CIV,5.57,2.67,0.0,151.56,12.99,135.88,0.0,498.16,1544.86,1274.88,0.0,28713.43
CMR,3.65,2.03,0.0,92.35,10.72,115.41,0.0,388.5,770.09,865.13,0.0,22268.99
COG,3.63,2.02,0.0,110.34,6.84,76.8,0.0,293.0,1255.72,737.57,0.0,47463.03
COL,10.98,5.38,0.0,267.55,165.5,774.93,0.01,4546.2,4481.0,4210.25,0.0,86288.02
COM,0.9,1.44,0.0,1.94,2.13,10.17,0.0,45.25,22.15,78.7,0.0,1255.22
CPV,1.31,1.81,0.0,7.73,3.79,24.41,0.0,139.94,32.5,191.32,0.0,2907.77
CRI,3.04,3.44,0.0,57.28,773.91,479.07,0.0,15012.99,1613.58,1657.09,0.0,54056.04
CUB,4.17,3.01,0.0,77.88,16.86,165.4,0.0,691.3,538.33,1228.37,0.0,21066.21
CYP,5.48,8.11,0.0,107.15,92.05,200.38,0.0,3336.97,592.65,1692.42,0.0,15235.21
CZE,10.75,13.07,0.0,220.41,2956.71,2771.55,0.01,29464.31,10334.87,9760.64,0.01,122213.27
DEU,284.46,208.89,0.03,1241.19,12035.18,11289.92,0.04,43293.21,65163.0,54630.23,0.04,204406.4
DJI,0.95,1.49,0.0,3.67,6.82,71.82,0.0,257.87,101.63,606.95,0.0,5598.63
DMA,1.38,1.51,0.0,9.18,6.61,14.28,0.0,398.0,31.04,94.18,0.0,1438.96
DNK,27.66,28.75,0.01,354.46,1364.06,1483.85,0.01,16440.35,8405.55,7884.79,0.01,89117.91
DOM,2.79,3.78,0.0,51.25,196.08,321.11,0.0,11242.34,1246.13,2138.28,0.0,54875.26
DZA,2.09,2.29,0.0,34.5,14.13,555.86,0.0,676.12,5248.76,3955.78,0.0,71327.33
ECU,2.66,3.03,0.0,46.33,35.78,344.27,0.0,1864.04,2549.3,2217.71,0.0,67175.5
EGY,18.3,6.75,0.0,365.27,279.58,768.35,0.0,5569.84,3155.51,5794.64,0.0,41789.54
ERI,1.01,1.24,0.0,4.01,2.94,19.76,0.0,106.94,85.61,115.39,0.0,7336.82
ESP,112.58,68.98,0.01,940.71,2355.76,3560.46,0.01,19424.69,19698.05,22756.64,0.02,118285.71
EST,4.11,3.63,0.0,78.67,497.52,467.6,0.0,10322.78,1564.4,1985.52,0.0,29302.44
ETH,3.67,2.31,0.0,86.95,10.39,198.71,0.0,632.89,405.45,1281.07,0.0,12478.56
FIN,7.28,10.19,0.0,139.31,1635.11,1417.88,0.01,13541.85,6471.62,6415.47,0.0,71957.43
FJI,2.45,2.1,0.0,41.4,10.51,49.27,0.0,345.18,195.28,387.32,0.0,10279.22
FRA,537.97,244.06,0.04,1704.0,4956.25,5921.01,0.03,27913.2,33111.35,36593.75,0.03,149724.32
FSM,1.13,1.24,0.0,7.53,2.22,7.99,0.0,56.68,34.54,43.53,0.0,3648.27
GAB,4.73,3.03,0.0,148.89,6.79,67.38,0.0,271.35,1200.11,521.86,0.0,41947.56
GBR,827.23,646.96,0.1,1884.27,4465.49,6433.25,0.03,25676.84,27901.93,36964.81,0.03,142308.52
GEO,3.0,6.2,0.0,60.65,18.65,131.69,0.0,691.5,459.06,991.78,0.0,12992.72
GHA,4.25,2.97,0.0,94.12,14.98,227.62,0.0,587.02,1415.27,1670.65,0.0,35129.51
GIN,2.03,1.67,0.0,30.63,13.99,76.19,0.0,1176.07,689.4,537.63,0.0,24363.21
GMB,1.48,1.52,0.0,4.66,6.32,23.85,0.0,327.02,68.76,229.15,0.0,5050.79
GNB,1.0,1.19,0.0,9.46,2.19,11.13,0.0,49.73,62.28,82.42,0.0,6288.28
GNQ,0.99,1.56,0.0,8.12,3.2,42.69,0.0,112.93,1103.81,369.55,0.0,34201.09
GRC,20.2,18.61,0.0,369.51,284.7,766.79,0.0,6197.47,3273.13,6152.16,0.01,45926.18
GRD,1.37,1.62,0.0,5.3,4.01,16.07,0.0,180.34,21.68,97.47,0.0,1159.18
