iso_o,iso_d,log_dist
ABW,AFG,9.492342091728666
ABW,AGO,9.16082581049436
ABW,ALB,9.115121807975004
ABW,AND,8.932316574532093
ABW,ARE,9.452110172650784
ABW,ARG,8.593453987437972
ABW,ARM,9.315401042685004
ABW,ATG,6.93244301351183
ABW,AUS,9.631514773789528
ABW,AUT,9.073274741283402
ABW,AZE,9.35036314989601
ABW,BDI,9.316542833098431
ABW,BEL,8.967895492694286
ABW,BEN,8.984686798189527
ABW,BFA,8.911127541787659
ABW,BGD,9.64688157725348
ABW,BGR,9.14292186766545
ABW,BHR,9.41803398528295
ABW,BHS,7.37055489653562
ABW,BIH,9.09791764416573
ABW,BLR,9.1466149601756
ABW,BLZ,7.638302285116119
ABW,BMU,7.724794353625068
ABW,BOL,8.083399902541212
ABW,BRA,8.4679205908931
ABW,BRB,7.038116652400838
ABW,BRN,9.798619693280983
ABW,BTN,9.620519020544773
ABW,BWA,9.323336859254388
ABW,CAF,9.187272339041378
ABW,CAN,8.181409077983949
ABW,CHE,8.99421364506859
ABW,CHL,8.542018478131837
ABW,CHN,9.557847923485454
ABW,CIV,8.894791330658673
ABW,CMR,9.10656648584466
ABW,COG,9.170965350918047
ABW,COL,6.94373420475466
ABW,COM,9.457407459729696
ABW,CPV,8.52444404036036
ABW,CRI,7.34650815043646
ABW,CUB,7.470074837006154
ABW,CYP,9.249870652593128
ABW,CZE,9.054960486985706
ABW,DEU,8.991486232965377
ABW,DJI,9.408114421662315
ABW,DMA,6.897693124876982
ABW,DNK,9.03700908136036
ABW,DOM,6.4969247527265495
ABW,DZA,8.947208723144612
ABW,ECU,7.437441321599424
ABW,EGY,9.247983880457358
ABW,ERI,9.36049077564269
ABW,ESP,8.870877026445491
ABW,EST,9.114766477402174
ABW,ETH,9.377322377118606
ABW,FIN,9.114662054417469
ABW,FJI,9.448759455994756
ABW,FRA,8.94714067863515
ABW,FSM,9.565473828433328
ABW,GAB,9.090309098425902
ABW,GBR,8.928142301526462
ABW,GEO,9.31081356410098
ABW,GHA,8.948708559200448
ABW,GIN,8.689601271677896
ABW,GMB,8.663110412008148
ABW,GNB,8.684863947436993
ABW,GNQ,9.07355833028354
ABW,GRC,9.15811580198082
ABW,GRD,6.814924822121983
ABW,GRL,8.686261645873603
ABW,GTM,7.705293105027848
ABW,GUY,7.285099337453632
ABW,HKG,9.688506224462111
ABW,HND,7.529970208674079
ABW,HRV,9.073015278072557
ABW,HTI,6.564402344559839
ABW,HUN,9.096906913180629
ABW,IDN,9.864766994284528
ABW,IND,9.565085354737368
ABW,IRL,8.878221027757666
ABW,IRN,9.382626744317005
ABW,IRQ,9.343676495536943
ABW,ISL,8.82867284188808
ABW,ISR,9.271909488793224
ABW,ITA,9.045481412625222
ABW,JAM,6.844124186007069
ABW,JOR,9.282103668954688
ABW,JPN,9.533571038983546
ABW,KAZ,9.470950021082984
ABW,KEN,9.383214946215958
ABW,KGZ,9.464320355616865
ABW,KHM,9.757999245787522
ABW,KIR,9.463393731883164
ABW,KNA,6.859270563158609
ABW,KOR,9.559841646566772
ABW,KWT,9.386164197496363
ABW,LAO,9.713721353028852
ABW,LBN,9.27196590447906
ABW,LBR,8.785496859576535
ABW,LBY,9.063982267678652
ABW,LCA,6.908600921325841
ABW,LKA,9.684557611484616
ABW,LSO,9.343385021160335
ABW,LTU,9.129554196332146
ABW,LUX,8.983152528526338
ABW,LVA,9.116133862903192
ABW,MAC,9.688925202175032
ABW,MAR,8.822136281656446
ABW,MDA,9.176012660541812
ABW,MDG,9.498718701984409
ABW,MDV,9.654767185339004
ABW,MEX,8.070211159880648
ABW,MHL,9.4656405134058
ABW,MKD,9.128488896133996
ABW,MLI,8.814198764640887
ABW,MLT,9.073830834792528
ABW,MMR,9.70726400937276
ABW,MNG,9.49545164274725
ABW,MOZ,9.382501317476256
ABW,MRT,8.669762163860774
ABW,MUS,9.57469247100124
ABW,MWI,9.37826377098381
ABW,MYS,9.80183626030684
ABW,NAM,9.236783646385469
ABW,NCL,9.544275822245426
ABW,NER,8.961415956765892
ABW,NGA,8.997384375850471
ABW,NIC,7.474164510565072
ABW,NLD,8.974225049852802
ABW,NOR,9.024146326768356
ABW,NPL,9.604279308245724
ABW,NRU,9.518163984874828
ABW,NZL,9.47128208663778
ABW,OMN,9.484596721389469
ABW,PAK,9.516471950786428
ABW,PAN,7.005766353538795
ABW,PER,7.954674544258895
ABW,PHL,9.727551365805663
ABW,PLW,9.712802115810009
ABW,PNG,9.67766667036809
ABW,POL,9.103870685860612
ABW,PRK,9.55136437642376
