iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist
ABW,AFG,0,0,0,0,13257.81,9.492342091728666
ABW,AGO,0,0,0,0,9516.913,9.16082581049436
ABW,AIA,0,0,0,0,983.2682,6.890881921183834
ABW,ALB,0,0,0,0,9091.742,9.115121807975003
ABW,AND,0,1,0,0,7572.788,8.932316574532093
ABW,ANT,0,1,0,1,136.3848,4.915480302249657
ABW,ARE,0,0,0,0,12735.01,9.452110172650784
ABW,ARG,0,1,0,0,5396.22,8.593453987437972
ABW,ARM,0,0,0,0,11107.78,9.315401042685005
ABW,ATG,0,0,0,0,1024.995,6.93244301351183
ABW,AUS,0,0,0,0,15237.5,9.631514773789528
ABW,AUT,0,0,0,0,8719.13,9.073274741283402
ABW,AZE,0,0,0,0,11503.0,9.35036314989601
ABW,BDI,0,0,0,0,11120.47,9.316542833098433
ABW,BEL,0,1,0,0,7847.07,8.967895492694286
ABW,BEN,0,0,0,0,7979.945,8.984686798189527
ABW,BFA,0,0,0,0,7414.016,8.911127541787659
ABW,BGD,0,0,0,0,15473.46,9.646881577253481
ABW,BGR,0,0,0,0,9348.039,9.14292186766545
ABW,BHR,0,0,0,0,12308.36,9.41803398528295
ABW,BHS,0,0,0,0,1588.515,7.37055489653562
ABW,BIH,0,0,0,0,8936.664,9.09791764416573
ABW,BLR,0,0,0,0,9382.626,9.146614960175599
ABW,BLZ,0,1,0,0,2076.216,7.638302285116119
ABW,BMU,0,0,0,0,2263.787,7.724794353625068
ABW,BOL,0,1,0,0,3240.231,8.083399902541212
ABW,BRA,0,0,0,0,4759.608,8.4679205908931
ABW,BRB,0,0,0,0,1139.24,7.038116652400838
ABW,BRN,0,0,0,0,18008.87,9.798619693280983
ABW,BTN,0,0,0,0,15070.87,9.620519020544773
ABW,BWA,0,0,0,0,11196.28,9.323336859254388
ABW,CAF,0,0,0,0,9771.96,9.187272339041378
ABW,CAN,0,0,0,0,3573.887,8.181409077983949
ABW,CCK,0,0,0,0,18614.29,9.83168484429551
ABW,CHE,0,0,0,0,8056.332,8.99421364506859
ABW,CHL,0,1,0,0,5125.68,8.542018478131837
ABW,CHN,0,0,0,0,14155.35,9.557847923485454
ABW,CIV,0,0,0,0,7293.883,8.894791330658673
ABW,CMR,0,0,0,0,9014.291,9.10656648584466
ABW,COG,0,0,0,0,9613.901,9.170965350918049
ABW,COK,0,0,0,0,10484.67,9.257669469307098
ABW,COL,0,1,0,0,1036.634,6.94373420475466
ABW,COM,0,0,0,0,12802.65,9.457407459729696
ABW,CPV,0,0,0,0,5036.386,8.52444404036036
ABW,CRI,0,1,0,0,1550.772,7.34650815043646
ABW,CUB,0,1,0,0,1754.738,7.470074837006154
ABW,CXR,0,0,0,0,19519.52,9.879170269500806
ABW,CYM,0,0,0,0,1421.378,7.259382102574969
ABW,CYP,0,0,0,0,10403.22,9.249870652593128
ABW,CZE,0,0,0,0,8560.899,9.054960486985706
ABW,DEU,0,0,0,0,8034.389,8.991486232965377
ABW,DJI,0,0,0,0,12186.87,9.408114421662317
ABW,DMA,0,0,0,0,989.9883,6.897693124876982
ABW,DNK,0,0,0,0,8408.59,9.03700908136036
ABW,DOM,0,1,0,0,663.0993,6.4969247527265495
ABW,DZA,0,0,0,0,7686.407,8.947208723144612
ABW,ECU,0,1,0,0,1698.399,7.437441321599424
ABW,EGY,0,0,0,0,10383.61,9.247983880457358
ABW,ERI,0,0,0,0,11620.09,9.36049077564269
ABW,ESH,0,0,0,0,6124.013,8.71997287957088
ABW,ESP,0,1,0,0,7121.524,8.870877026445491
ABW,EST,0,0,0,0,9088.512,9.114766477402174
ABW,ETH,0,0,0,0,11817.33,9.377322377118606
ABW,FIN,0,0,0,0,9087.563,9.114662054417469
ABW,FJI,0,0,0,0,12692.41,9.448759455994756
ABW,FLK,0,0,0,0,7248.144,8.888500715075127
ABW,FRA,0,0,0,0,7685.884,8.94714067863515
ABW,FRO,0,0,0,0,7410.507,8.910654137002151
ABW,FSM,0,0,0,0,14263.71,9.565473828433328
ABW,GAB,0,0,0,0,8868.927,9.090309098425902
ABW,GBR,0,0,0,0,7541.243,8.928142301526462
ABW,GEO,0,0,0,0,11056.94,9.31081356410098
ABW,GHA,0,0,0,0,7697.944,8.948708559200448
ABW,GIB,0,1,0,0,6937.016,8.844626989855179
ABW,GIN,0,0,0,0,5940.813,8.689601271677896
ABW,GLP,0,0,0,0,980.5495,6.888113128808815
ABW,GMB,0,0,0,0,5785.502,8.663110412008148
ABW,GNB,0,0,0,0,5912.736,8.684863947436993
ABW,GNQ,0,1,0,0,8721.603,9.07355833028354
ABW,GRC,0,0,0,0,9491.157,9.15811580198082
ABW,GRD,0,0,0,0,911.348,6.8149248221219825
ABW,GRL,0,0,0,0,5921.006,8.686261645873603
ABW,GTM,0,1,0,0,2220.068,7.705293105027848
ABW,GUF,0,0,0,0,2128.791,7.663309491920608
ABW,GUY,0,0,0,0,1458.406,7.285099337453632
ABW,HKG,0,0,0,0,16131.13,9.688506224462113
ABW,HND,0,1,0,0,1863.05,7.529970208674079
ABW,HRV,0,0,0,0,8716.868,9.073015278072557
ABW,HTI,0,0,0,0,709.3878,6.564402344559839
ABW,HUN,0,0,0,0,8927.636,9.096906913180629
ABW,IDN,0,0,0,1,19240.39,9.864766994284528
ABW,IND,0,0,0,0,14258.17,9.565085354737368
ABW,IRL,0,0,0,0,7174.017,8.878221027757666
ABW,IRN,0,0,0,0,11880.18,9.382626744317005
ABW,IRQ,0,0,0,0,11426.34,9.343676495536943
ABW,ISL,0,0,0,0,6827.22,8.82867284188808
ABW,ISR,0,0,0,0,10635.04,9.271909488793225
ABW,ITA,0,0,0,0,8480.133,9.045481412625222
ABW,JAM,0,0,0,0,938.3511,6.844124186007069
ABW,JOR,0,0,0,0,10744.01,9.282103668954688
ABW,JPN,0,0,0,0,13815.84,9.533571038983546
ABW,KAZ,0,0,0,0,12977.21,9.470950021082984
ABW,KEN,0,0,0,0,11887.17,9.383214946215958
ABW,KGZ,0,0,0,0,12891.46,9.464320355616863
ABW,KHM,0,0,0,0,17292.0,9.757999245787522
ABW,KIR,0,0,0,0,12879.52,9.463393731883164
ABW,KNA,0,0,0,0,952.6719,6.859270563158609
ABW,KOR,0,0,0,0,14183.6,9.559841646566772
ABW,KWT,0,0,0,0,11922.28,9.386164197496363
ABW,LAO,0,0,0,0,16543.05,9.713721353028852
ABW,LBN,0,0,0,0,10635.64,9.271965904479059
ABW,LBR,0,0,0,0,6538.721,8.785496859576535
ABW,LBY,0,0,0,0,8638.483,9.063982267678652
ABW,LCA,0,0,0,0,1000.846,6.908600921325841
ABW,LKA,0,0,0,0,16067.56,9.684557611484617
ABW,LSO,0,0,0,0,11423.01,9.343385021160335
ABW,LTU,0,0,0,0,9223.909,9.129554196332146
ABW,LUX,0,0,0,0,7967.711,8.983152528526338
ABW,LVA,0,0,0,0,9100.948,9.116133862903192
ABW,MAC,0,0,0,0,16137.89,9.688925202175033
ABW,MAR,0,0,0,0,6782.739,8.822136281656446
ABW,MDA,0,0,0,0,9662.548,9.176012660541812
ABW,MDG,0,0,0,0,13342.62,9.498718701984407
ABW,MDV,0,0,0,0,15595.96,9.654767185339004
ABW,MEX,0,1,0,0,3197.777,8.070211159880648
ABW,MHL,0,0,0,0,12908.49,9.4656405134058
ABW,MKD,0,0,0,0,9214.088,9.128488896133996
ABW,MLI,0,0,0,0,6729.114,8.814198764640887
ABW,MLT,0,0,0,0,8723.98,9.073830834792528
ABW,MMR,0,0,0,0,16436.57,9.70726400937276
ABW,MNG,0,0,0,0,13299.1,9.49545164274725
ABW,MNP,0,0,0,0,15020.25,9.617154569653643
ABW,MOZ,0,0,0,0,11878.69,9.382501317476255
ABW,MRT,0,0,0,0,5824.114,8.669762163860774
ABW,MSR,0,0,0,0,966.2597,6.873432638661075
ABW,MTQ,0,0,0,0,1001.726,6.909479791155883
ABW,MUS,0,0,0,0,14395.81,9.574692471001239
ABW,MWI,0,0,0,0,11828.46,9.37826377098381
ABW,MYS,0,0,0,0,18066.89,9.801836260306839
ABW,NAM,0,0,0,0,10267.96,9.236783646385469
ABW,NCL,0,0,0,0,13964.53,9.544275822245426
ABW,NER,0,0,0,0,7796.389,8.961415956765892
ABW,NFK,0,0,0,0,13783.12,9.53119993403396
ABW,NGA,0,0,0,0,8081.917,8.997384375850471
ABW,NIC,0,1,0,0,1761.929,7.474164510565072
ABW,NIU,0,0,0,0,11484.71,9.348771864477891
ABW,NLD,0,1,1,0,7896.896,8.974225049852802
ABW,NOR,0,0,0,0,8301.125,9.024146326768355
ABW,NPL,0,0,0,0,14828.1,9.604279308245724
ABW,NRU,0,0,0,0,13604.61,9.518163984874828
ABW,NZL,0,0,0,0,12981.52,9.47128208663778
ABW,OMN,0,0,0,0,13155.52,9.484596721389469
ABW,PAK,0,0,0,0,13581.61,9.516471950786428
ABW,PAL,0,0,0,0,10625.24,9.2709875817728
ABW,PAN,0,1,0,0,1102.975,7.005766353538795
ABW,PCN,0,0,0,0,7735.013,8.953512443678022
ABW,PER,0,1,0,0,2848.861,7.954674544258895
ABW,PHL,0,0,0,0,16773.43,9.727551365805663
ABW,PLW,0,0,0,0,16527.85,9.712802115810009
ABW,PNG,0,0,0,0,15957.22,9.67766667036809
ABW,POL,0,0,0,0,8990.023,9.103870685860613
ABW,PRI,0,1,0,0,781.5696,6.661304205396929
ABW,PRK,0,0,0,0,14063.87,9.551364376423761
ABW,PRT,0,0,0,0,6637.424,8.80047921539048
ABW,PRY,0,1,0,0,4418.076,8.39345958618611
ABW,PYF,0,0,0,0,9348.107,9.142929141891914
ABW,QAT,0,0,0,0,12436.23,9.428369265700447
ABW,REU,0,0,0,0,14183.83,9.559857862346629
ABW,ROM,0,0,0,0,9528.119,9.162002600461761
ABW,RUS,0,0,0,0,9942.475,9.20457126262055
ABW,RWA,0,0,0,0,11168.01,9.320808720417226
ABW,SAU,0,0,0,0,12028.87,9.395064872719779
ABW,SDN,0,0,0,0,10960.46,9.302049530424176
ABW,SEN,0,0,0,0,5688.13,8.646136826355518
ABW,SGP,0,0,0,0,18355.38,9.81767799852241
ABW,SHN,0,0,0,0,7763.898,8.957239806644642
ABW,SLB,0,0,0,0,14562.64,9.586214623995751
ABW,SLE,0,0,0,0,6222.756,8.73596817441597
ABW,SLV,0,1,0,0,2070.009,7.63530823407605
ABW,SMR,0,0,0,0,8461.912,9.04333043179318
ABW,SOM,0,0,0,0,12721.27,9.451030674677451
ABW,SPM,0,0,0,0,4015.755,8.297980653534529
ABW,STP,0,0,0,0,8580.347,9.057229634554659
ABW,SUR,0,1,0,1,1793.713,7.492043052117488
ABW,SVK,0,0,0,0,8778.741,9.0800882822698
ABW,SVN,0,0,0,0,8601.009,9.059634800940886
ABW,SWE,0,0,0,0,8715.387,9.07284536316441
ABW,SWZ,0,0,0,0,11739.21,9.37068979980617
ABW,SYC,0,0,0,0,13989.59,9.546068760582473
ABW,SYR,0,0,0,0,10720.53,9.279915873701169
ABW,TCA,0,0,0,0,998.4774,6.9062315186487915
ABW,TCD,0,0,0,0,9201.158,9.12708462468144
ABW,TGO,0,0,0,0,7858.3,8.969325577043003
ABW,THA,0,0,0,0,16930.21,9.73685487906679
ABW,TJK,0,0,0,0,12917.73,9.46635606530571
ABW,TKL,0,0,0,0,11515.18,9.35142144391724
ABW,TKM,0,0,0,0,12265.52,9.414547352858678
ABW,TMP,0,0,0,0,18262.52,9.81260615119867
ABW,TON,0,0,0,0,12067.62,9.398281111549842
ABW,TTO,0,0,0,0,959.7569,6.866680023227296
ABW,TUN,0,0,0,0,8328.585,9.027448852784516
ABW,TUR,0,0,0,0,9845.79,9.194799231632434
ABW,TUV,0,0,0,0,12456.92,9.430031570773474
ABW,TWN,0,0,0,0,15659.13,9.658809412445972
ABW,TZA,0,0,0,0,12282.36,9.415919365646884
ABW,UGA,0,0,0,0,11386.03,9.340142444322241
ABW,UKR,0,0,0,0,9678.449,9.177656940160135
ABW,URY,0,1,0,0,5483.935,8.609578187949671
ABW,USA,0,0,0,0,3161.668,8.058855015419418
