iso_o,iso_d,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006410260922579,0.0,0.0,0.0,0.0,0.0,0.0002450866493948,0.0,9.292202146319728e-05,0.0001594886700425
ABW,ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025243218120574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020623866562141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036625294038479
ABW,BGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39668870839843e-05,0.0,0.0,0.0,0.0,0.0029786028141379,0.0,0.0,0.0
ABW,BOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76036017284612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,BRB,0.0,0.0023211992752791,0.0043087594821139,0.0031487993986732,0.0021992151396689,0.001724137954857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009935440355674,0.0005134932547716,0.0001561128947003,0.0,0.0
ABW,CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0007521511513437,0.0017205915384462,0.0,0.0009828075255081,0.0029353516542543,0.0,0.0,0.0,0.0026970530071761,0.0,0.0041099454953387,0.0,0.0,0.0,0.002928795386493,0.0,0.0,0.0009172007662396
ABW,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004987466345804,0.0,0.0,0.0,0.0,0.0,0.0005911795739222,0.0,0.0,0.0
ABW,CHL,0.0,0.0050427787967085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,CHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125050969153845,0.0,0.0,0.0
ABW,COL,0.0,0.0682035568202125,0.0226724690087434,0.0195159065293625,0.0114482457480443,0.007880418220356,0.0180707307841963,0.0059906833823354,0.0024385826071372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011200560475144,0.0,0.0003567223061092,0.0,0.0001274389316985,0.0,0.0
ABW,CRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001093894644216,0.0,6.18215247686487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,CUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337137975091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,DEU,0.0,0.0,0.0,0.0006281888989489,0.0335347588023647,0.0166659444149255,0.0096081974811456,0.009189292289042,0.003410308200767,0.0019478896572695,0.0,0.0,0.0028156673211271,0.0,0.0067891321810407,0.0,0.0,0.0,0.0,0.0,0.0023396170451658,0.0,0.0,0.000718654841217
ABW,DMA,0.0,0.0,0.0,0.0,0.0,0.000905184134129,0.0,0.0003557233834543,0.0003690862114225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,DNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61070969420705e-05,0.0,0.0,0.0
ABW,DOM,0.0,0.0098563860771247,0.0,0.0,0.0047373065639307,0.0014263664124288,0.0005221776275069,0.0005202023416728,0.000361189210224,0.0010224793820662,0.0,0.0003104497471895,0.0001057937480728,6.709167487640821e-05,0.4124322465549469,0.0,0.0,0.0,0.1523649318524337,0.0457216688540014,0.0137441121066343,0.0048970353195708,0.0,0.0
ABW,ECU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ESP,0.0,0.0,0.0,0.0002178387321349,0.0007095971603078,0.0,0.0005871809065418,0.0,0.0045491542719625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013841611498531,0.0,0.0,0.0004543675742884,0.0155779263762299,0.0,0.0,0.0
ABW,FRA,0.0,0.0,0.0,0.0,1.47656093833697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006097003538394,0.0096529609897702,0.0041751513746519,0.0,0.0028481801737652,0.0,0.0,0.0,0.0009861061657278,0.0005520366025638,0.0001769495238862,0.0001499764337583
ABW,GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276500990623567,0.0,0.0,0.0083891418964345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025388873457499,0.0,0.0,0.0
ABW,GRD,0.0,0.0003608811282472,0.0002468000111241,0.0004138609398822,0.0007335615793992,0.0011657062020849,0.0,0.0005274705705484,0.0003759557331061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005124981185324,0.0,0.0,0.0
ABW,GTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009743989245631,0.0,0.0,0.0
ABW,GUY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08998490624363e-06,0.0,0.0,0.0
ABW,HKG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001398530130293,0.0,0.0,0.0
ABW,HND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31495505849261e-06,0.0,0.0,0.0,0.0,0.0,4.839700933040803e-06,0.0,0.0,4.527139127678344e-05
ABW,HRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,HTI,0.0,0.000145,0.0002225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,IDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88166396121652e-05,0.0,0.0,0.0
ABW,IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17542699369928e-05,0.0,0.0,0.0,0.0,0.0,7.360428906973753e-05,0.0,0.0,0.0
ABW,ISR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009910936938615,0.0,0.0,0.0,0.0,0.0,0.0033027074033044,0.0009944854882604,0.0,0.0
ABW,JAM,0.0,0.0,0.0,0.0,2.00191250469814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019186472575328,0.0,0.0,0.0,0.0,0.0,0.0005973787772276,0.000188286010692,0.0,0.0
ABW,JOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011378798834438,0.0,0.0,0.0,0.0,0.0,0.0090863735028786,0.0,0.0,0.0
ABW,JPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,KNA,0.0,0.0,0.0,0.000311503521507,0.0005115067435136,0.001142452023054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006547356069162,0.0,0.0,0.0,0.0,0.0,0.0002202056242559,0.0,0.0,0.0
ABW,KOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0897477567936601,0.0,0.0,0.0
