iso_o,iso_d,comlang_off
ABW,AFG,0
ABW,AGO,0
ABW,ALB,0
ABW,AND,1
ABW,ARE,0
ABW,ARG,1
ABW,ARM,0
ABW,ATG,0
ABW,AUS,0
ABW,AUT,0
ABW,AZE,0
ABW,BDI,0
ABW,BEL,1
ABW,BEN,0
ABW,BFA,0
ABW,BGD,0
ABW,BGR,0
ABW,BHR,0
ABW,BHS,0
ABW,BIH,0
ABW,BLR,0
ABW,BLZ,1
ABW,BMU,0
ABW,BOL,1
ABW,BRA,0
ABW,BRB,0
ABW,BRN,0
ABW,BTN,0
ABW,BWA,0
ABW,CAF,0
ABW,CAN,0
ABW,CHE,0
ABW,CHL,1
ABW,CHN,0
ABW,CIV,0
ABW,CMR,0
ABW,COG,0
ABW,COL,1
ABW,COM,0
ABW,CPV,0
ABW,CRI,1
ABW,CUB,1
ABW,CYP,0
ABW,CZE,0
ABW,DEU,0
ABW,DJI,0
ABW,DMA,0
ABW,DNK,0
ABW,DOM,1
ABW,DZA,0
ABW,ECU,1
ABW,EGY,0
ABW,ESP,1
ABW,EST,0
ABW,ETH,0
ABW,FIN,0
ABW,FJI,0
ABW,FRA,0
ABW,FSM,0
ABW,GAB,0
ABW,GBR,0
ABW,GEO,0
ABW,GHA,0
ABW,GIN,0
ABW,GMB,0
ABW,GNB,0
ABW,GNQ,1
ABW,GRC,0
ABW,GRD,0
ABW,GRL,0
ABW,GTM,1
ABW,GUY,0
ABW,HKG,0
ABW,HND,1
ABW,HRV,0
ABW,HTI,0
ABW,HUN,0
ABW,IDN,0
ABW,IND,0
ABW,IRL,0
ABW,IRN,0
ABW,IRQ,0
ABW,ISL,0
ABW,ISR,0
ABW,ITA,0
ABW,JAM,0
ABW,JOR,0
ABW,JPN,0
ABW,KAZ,0
ABW,KEN,0
ABW,KGZ,0
ABW,KHM,0
ABW,KIR,0
ABW,KNA,0
ABW,KOR,0
ABW,KWT,0
ABW,LAO,0
ABW,LBN,0
ABW,LBR,0
ABW,LBY,0
ABW,LCA,0
ABW,LKA,0
ABW,LSO,0
ABW,LTU,0
ABW,LUX,0
ABW,LVA,0
