"","country","alpha","out_deg","in_deg","clustering","year","n_nodes","n_edges","density","reciprocity","transitivity","avg_path_length"
"1","ABW",0.5,2.4632243113318,4.79334412726408,0.961950729073538,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"2","AFG",0.5,3.0104429616408,4.3904497295331,0.991261771795259,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"3","AGO",0.5,2.56394497420577,6.90541334098405,0.939073438482743,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"4","ALB",0.5,4.31286969516587,7.90954383369413,0.926029310448119,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"5","AND",0.5,5.14218877272871,9.87434508537003,0.986894188594049,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"6","ARE",0.5,14.9436718799962,19.9502953654288,0.851044955416954,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"7","ARG",0.5,17.4661132015154,23.226491924087,0.832547364958707,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"8","ARM",0.5,3.79316790585693,4.54533642718746,0.920072417317787,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"9","ATG",0.5,3.79660100720942,5.28710230653006,0.898434577539237,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"10","AUS",0.5,26.0046396960651,41.7597960339476,0.843399961489222,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"11","AUT",0.5,38.5498008045703,40.3986598404201,0.868295431083809,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"12","AZE",0.5,4.98360442910136,7.57437854153014,0.808690278280295,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"13","BDI",0.5,1.06082762530298,5.39690619673533,0.979114226448515,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"14","BEN",0.5,3.01173015254442,8.92940405306924,0.935920341496874,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"15","BFA",0.5,3.84240566111053,8.30726247410582,0.886978059481558,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"16","BGD",0.5,6.74800671573172,8.12158464936736,0.968817811227171,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"17","BGR",0.5,11.256894368023,12.0473952772988,0.849277462918918,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"18","BHR",0.5,6.08603521762185,9.97680823327463,0.940680310786619,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"19","BHS",0.5,5.13523649898933,8.77001019287047,0.960431549136611,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"20","BIH",0.5,4.06033111069346,6.41666181633983,0.897115113749589,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"21","BLR",0.5,9.58393279914143,10.6968262966417,0.805497925337573,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
