"","iso_o","pageRank_repro.name","pageRank_repro.wpr","close_repro.name","close_repro.closeness","outdegree_repro.name","outdegree_repro.degree","indegree_repro.name","indegree_repro.degree","local_clust_tt_repro","local_clust_out_repro"
"1","ABW",1,0.0017400429112741,1,395.036445110771,1,7.69396052637088,1,35.3729581551779,0.970527452175345,0.827755427031814
"2","AFG",2,0.00293100679426098,2,527.183776895382,2,10.1724459637247,2,120.396853115425,0.971579236038946,0.858276814649156
"3","AGO",3,0.0081544478306429,3,153.169847741156,3,6.75667553336532,3,386.981016097412,0.922460790566241,0.895891824992429
"4","ALB",4,0.00215169003598407,4,1927.55765533133,4,58.5973493423249,4,113.226148310511,0.929650855361979,0.827035542498825
"5","AND",5,0.0017163998463522,5,1411.90381110026,5,17.8549416566141,5,71.3359462613006,0.973523493874398,0.94793828092588
"6","ARE",6,0.0193016719894076,6,7600.06377382734,6,863.453356824146,6,2565.38874282838,0.858993923781246,0.620246036786048
"7","ARG",7,0.00551457321451137,7,5749.52510285667,7,202.476249616021,7,1059.35909740723,0.952441113460232,0.814136303689851
"8","ARM",8,0.00222747987400702,8,791.295581690454,8,18.2174280855424,8,75.3371791495162,0.93731002793165,0.82875164127413
"9","ATG",9,0.0015542169087654,9,434.9002917494,9,7.22188475744803,9,14.1729954848706,0.93093002239708,0.716379117774595
"10","AUS",10,0.00983062711035102,10,8493.19000725795,10,597.824571806143,10,2618.69623556129,0.919608639984,0.848085228017263
"11","AUT",11,0.00807987243946267,11,25463.7219367558,11,2514.30020055407,11,2406.52107556123,0.91788193966039,0.888391407168856
"12","AZE",12,0.00336989024700083,12,527.976016064826,12,12.3729782203292,12,241.065800024355,0.958798519542456,0.917257431394354
"13","BDI",13,0.00175014484139053,13,71.5693148684853,13,3.05435558648305,13,20.15991413774,0.960569512002711,0.824019335515272
"14","BEL",14,0.0107669471145594,14,20878.9639434377,14,2644.6736238206,14,3154.192935179,0.933072141693775,0.908643910453527
"15","BEN",15,0.00297808178095992,15,66.2980185441848,15,3.53657027689439,15,119.568854439656,0.964432166833557,0.678141918781105
"16","BFA",16,0.00325644305108795,16,114.061464890739,16,3.58439123263555,16,54.7631775545469,0.965294559844766,0.841692105733305
