"","country","alpha","out_deg","in_deg","clustering","year","n_nodes","n_edges","density","reciprocity","transitivity","avg_path_length"
"1","ABW",0.5,31.6661261799579,30.7509198217791,0.974662744192565,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"2","AFG",0.5,18.0663931038474,26.8174516955762,0.97262040206476,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"3","AGO",0.5,64.3637059466051,47.9465253421623,0.99064945330001,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"4","ALB",0.5,24.0787157211229,38.9015309827215,0.976849081269084,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"5","AND",0.5,13.5619969391967,40.6246319748973,0.998229345483643,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"6","ARE",0.5,152.192578933887,162.739024658343,0.966572551852342,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"7","ARG",0.5,154.823413665545,147.147222036698,0.932746521251074,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"8","ARM",0.5,21.84915885096,25.3076388380855,0.963749412269148,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"9","ATG",0.5,15.1814373911434,24.425556738828,0.963852567125524,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"10","AUS",0.5,234.006731644576,237.340246119843,0.936803234451759,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"11","AUT",0.5,241.499044227586,258.905363613878,0.963539409110212,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"12","AZE",0.5,31.8442761931856,38.1385213715468,0.916972154148061,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"13","BDI",0.5,19.8569220289247,22.2431046032236,0.98147658246274,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"14","BEN",0.5,21.229293488903,40.6096752609945,0.934421818491463,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"15","BFA",0.5,22.5899734094689,29.9643577468402,0.954976552199895,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"16","BGD",0.5,70.3135268909621,84.4225642657859,0.965225888079286,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"17","BGR",0.5,80.2645993116186,86.7108544613379,0.888746292569251,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"18","BHR",0.5,60.3784382473134,63.2399522544215,0.960191391069723,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"19","BHS",0.5,33.8637762662485,54.3867479922594,0.956702349248796,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"20","BIH",0.5,14.369473283163,35.5779344681074,0.981820633141153,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"21","BLR",0.5,72.3751591091752,85.916570267435,0.887080277746933,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"22","BLZ",0.5,23.044883798517,25.6643381935235,0.982933336567762,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"23","BMU",0.5,22.1165111652173,42.5385330964023,0.952182547825616,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"24","BOL",0.5,41.9574487110167,49.9258381639539,0.956915281420606,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"25","BRA",0.5,224.007806169364,236.03925036816,0.918781564171482,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"26","BRB",0.5,24.7021529675494,35.4678494648004,0.90886938701183,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"27","BRN",0.5,59.3413911437848,64.2989121728644,0.984520572495503,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"28","BTN",0.5,17.1963782254829,15.2420776133081,0.98048648283225,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"29","CAF",0.5,16.8653089896455,21.9377633079574,0.970384465060587,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"30","CAN",0.5,441.516232440388,404.391097148148,0.974236776944107,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"31","CHE",0.5,303.451506697347,298.136535285638,0.960323409135751,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"32","CHL",0.5,133.173726870185,130.697167406737,0.94905410359114,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"33","CHN",0.5,430.439168161015,358.442835265127,0.936729813898324,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"34","CIV",0.5,73.3419341852272,62.3316662067795,0.92361385118867,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"35","CMR",0.5,52.0824475652457,40.6441411533136,0.96706198812068,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"36","COG",0.5,37.3703358907406,37.4225241260813,0.986412565400033,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"37","COL",0.5,112.678130818313,125.02555050937,0.921420309855536,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"38","COM",0.5,10.412886670424,19.1712818814881,0.982691372542568,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"39","CPV",0.5,9.54273803733715,25.9829888163941,0.956590893818659,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"40","CRI",0.5,67.693627705498,70.087517978481,0.939899792449733,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"41","CUB",0.5,49.4090277191109,63.7201678746767,0.916102941966071,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"42","CYP",0.5,46.3030654004258,77.3417529281889,0.946870535513205,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
"43","CZE",0.5,152.988005633047,164.734922102281,0.947546623899528,"1995",182,19347,0.587304960233137,0.828862355920815,0.792802836346195,0.00504843361058799
