"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"1","ABW",1,0.0021178657275442,1,4552.88809085344,1,93.1381043074805,1,302.17647194184,0.967808609344565,0.899596128072495
"2","AFG",2,0.00274664594510344,2,8203.06544802112,2,168.593388022959,2,1614.30146928734,0.953189173961511,0.967384347177706
"3","AGO",3,0.00343523741234463,3,107994.027189246,3,5753.44270005452,3,2302.1666889377,0.988139742645016,0.996755681181887
"4","ALB",4,0.00225081575166944,4,22108.1467010599,4,332.682326266202,4,704.607565979434,0.981445343111551,0.98695894952796
"5","AND",5,0.00194832163763918,5,8272.44599411999,5,77.2347058949046,5,359.922325137888,0.990273840661452,0.958217712534063
"6","ARE",6,0.0132209694381287,6,121995.526477648,6,15879.6428954385,6,13886.763512942,0.948721536479627,0.940833850106344
"7","ARG",7,0.00407600612851751,7,79015.7114266224,7,7210.02967263928,7,5488.27496475781,0.969494902231914,0.951267846183712
"8","ARM",8,0.00206479069572714,8,8253.16687603712,8,233.176627694177,8,558.374220924151,0.978506336279221,0.982934263335046
"9","ATG",9,0.00221686084209522,9,37532.7387301304,9,468.368037068822,9,499.972546259683,0.964552738570824,0.949587970405015
"10","AUS",10,0.0103503266592215,10,140892.661519103,10,17355.2021464514,10,14785.5802952396,0.970591856375692,0.975963707829536
"11","AUT",11,0.00737523093902704,11,126968.36214578,11,11730.2896867638,11,12221.2450369118,0.974778362219435,0.974468385777729
"12","AZE",12,0.00233245002031424,12,65495.1065966121,12,3014.41256823777,12,1354.66655258169,0.976704027847144,0.970643520324896
"13","BDI",13,0.00192088030983988,13,1866.96733298682,13,40.9626014763609,13,117.633564654349,0.978937517392348,0.991121766776154
"14","BEL",14,0.0169951526336858,14,133453.542915554,14,22186.2188206341,14,24068.055655599,0.978882696171954,0.977009874086698
"15","BEN",15,0.00237060294740618,15,11175.8313658932,15,353.195726120782,15,1008.09008950808,0.969504222831819,0.938778366386003
"16","BFA",16,0.00224817452234966,16,14673.2844209698,16,277.972818316313,16,397.035652537803,0.970095761679892,0.984040499318101
"17","BGD",17,0.00364421541754823,17,57912.6634510416,17,2632.50909877945,17,3483.91633717856,0.974971028630526,0.984130355802981
"18","BGR",18,0.00343861036122256,18,39298.9841454627,18,2234.65004248459,18,2818.78416491732,0.966716863459868,0.95400086385344
"19","BHR",19,0.00261217016821519,19,27548.4939102283,19,1792.25291172742,19,1882.82347802598,0.966422780587332,0.961148636100238
"20","BHS",20,0.00223996862252189,20,22926.4665574561,20,546.210886248235,20,1557.46793345592,0.984004836420441,0.961351880767897
"21","BIH",21,0.00261163794751827,21,19928.1796541676,21,678.234560309563,21,1111.4488501453,0.973460069930583,0.975449123551727
"22","BLR",22,0.00325774950229894,22,70766.5486942147,22,2938.96572528626,22,4387.20201703688,0.966005957522364,0.958844097460478
"23","BLZ",23,0.00188696443372656,23,7582.72242503968,23,116.163999697831,23,185.446040198233,0.976603194381868,0.981386710642186
"24","BMU",24,0.00201950477434437,24,18384.4237100976,24,194.325942470702,24,721.240833430481,0.993175427078387,0.997632891392375
"25","BOL",25,0.00220532905239363,25,40941.5090112366,25,1128.64314179255,25,897.608628332169,0.974551221781173,0.981633057553431
"26","BRA",26,0.0104953309217186,26,123128.464597227,26,17102.9085486481,26,14898.030338093,0.941752068463147,0.935698791704937
"27","BRB",27,0.00243911032048455,27,18712.3550023741,27,226.554027861899,27,461.367391887261,0.933428944018447,0.913110699753289
"28","BRN",28,0.00198010947782133,28,54200.0915616032,28,1416.85208932513,28,537.352676378236,0.991794036335537,0.998082117607821
