iso_o,country,landlocked,continent,lat,lon,langoff_1,colonizer1
AND,Andorra,0,Europe,42.5,1.5,Catalan,
ARE,United Arab Emirates,0,Asia,24.466667,54.416668,Arabic,GBR
AFG,Afghanistan,1,Asia,34.516666,69.199997,Persian,
ATG,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR
AIA,Anguilla,0,America,18.216667,-63.066666,English,GBR
ALB,Albania,0,Europe,41.333332,19.816668,Albanian,TUR
ARM,Armenia,1,Asia,40.183334,44.5,Armenian,TUR
ANT,Netherland Antilles,0,America,12.1,-68.933334,Dutch,NLD
AGO,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT
ARG,Argentina,0,America,-34.666668,-58.5,Spanish,ESP
AUT,Austria,1,Europe,48.216667,16.366667,German,
AUS,Australia,0,Pacific,-35.299999,149.133,English,GBR
ABW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
AZE,Azerbaijan,1,Asia,40.366665,49.883335,Azeri,RUS
BIH,Bosnia and Herzegovina,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR
BRB,Barbados,0,America,13.1,-59.616665,English,GBR
BGD,Bangladesh,0,Asia,23.700001,90.366669,Bengali,GBR
BEL,Belgium and Luxembourg,0,Europe,50.833332,4.3499999,Dutch,
BFA,Burkina Faso,1,Africa,12.333333,-1.6666666,French,FRA
BGR,Bulgaria,0,Europe,42.666668,23.299999,Bulgarian,TUR
BHR,Bahrain,0,Asia,26.200001,50.633335,Arabic,GBR
BDI,Burundi,1,Africa,-3.3666666,29.316668,French,BEL
BEN,Benin,0,Africa,6.5,2.7833333,French,FRA
BMU,Bermuda,0,America,32.299999,-64.800003,English,GBR
BRN,Brunei Darussalam,0,Asia,4.9333334,114.96667,Malay,GBR
BOL,Bolivia,1,America,-16.5,-68.166664,Spanish,ESP
BRA,Brazil,0,America,-15.78,-47.91,Portuguese,PRT
BHS,Bahamas,0,America,25.083334,-77.333336,English,GBR
BTN,Bhutan,1,Asia,27.533333,89.75,Burmese,
BWA,Botswana,1,Africa,-24.75,25.916666,English,GBR
BLR,Belarus,0,Europe,53.849998,27.5,Belarussian,RUS
BLZ,Belize,0,America,17.216667,-88.800003,English,GBR
CAN,Canada,0,America,45.419998,-75.709999,English,GBR
CCK,Cocos (Keeling) Islands,0,Pacific,-12.5,96.833336,Malay,GBR
CAF,Central African Republic,1,Africa,4.3833332,18.616667,French,FRA
COG,Congo,0,Africa,-4.2333331,15.233334,French,FRA
CHE,Switzerland,1,Europe,46.950001,7.4333334,German,
CIV,Côte d'Ivoire,0,Africa,5.3166666,-4.0166669,French,FRA
COK,Cook Islands,0,Pacific,-21.200001,-159.76666,English,GBR
CHL,Chile,0,America,-33.5,-70.666664,Spanish,ESP
CMR,Cameroon,0,Africa,3.8499999,11.516666,French,FRA
CHN,China,0,Asia,39.916668,116.43333,Chinese,
COL,Colombia,0,America,4.6333332,-75.066666,Spanish,ESP
CRI,Costa Rica,0,America,9.9833336,-84.066666,Spanish,ESP
CUB,Cuba,0,America,23.116667,-82.416664,Spanish,ESP
CPV,Cape Verde,0,Africa,14.916667,-23.5,Portuguese,PRT
CXR,Christmas Island,0,Pacific,-10.416667,105.71667,English,GBR
CYP,Cyprus,0,Europe,35.150002,33.349998,Greek,GBR
CZE,Czech Republic,1,Europe,50.099998,14.433333,Czech,AUT
DEU,Germany,0,Europe,52.533001,13.417,German,
DJI,Djibouti,0,Africa,11.6,43.150002,French,FRA
DNK,Denmark,0,Europe,55.666668,12.583333,Danish,
DMA,Dominica,0,America,15.3,-61.383335,English,GBR
DOM,Dominican Republic,0,America,18.5,-69.783333,Spanish,FRA
DZA,Algeria,0,Africa,36.833332,3.0,Arabic,FRA
ECU,Ecuador,0,America,-0.23333333,-78.5,Spanish,ESP
