,year,total_previous_u_ties,persisted_u,new_u,dissolved_u,survival_rate_u,formation_rate_u,dissolution_rate_u,total_previous_r_ties,persisted_r,new_r,dissolved_r,survival_rate_r,formation_rate_r,dissolution_rate_r,total_previous_t_ties,persisted_t,new_t,dissolved_t,survival_rate_t,formation_rate_t,dissolution_rate_t
0,1996,3191,2472,829,719,0.7746787840802256,0.25979316828580384,0.22532121591977436,7406,6318,1183,1088,0.8530920874966244,0.15973534971644612,0.14690791250337565,19347,17810,1973,1537,0.9205561585775572,0.10197963508554297,0.07944384142244276
1,1997,3301,2512,920,789,0.7609815207512874,0.27870342320508934,0.2390184792487125,7501,6315,1247,1186,0.8418877483002266,0.16624450073323557,0.15811225169977336,19783,18148,1870,1635,0.9173532831218724,0.09452560279027448,0.08264671687812769
2,1998,3432,2562,954,870,0.7465034965034965,0.27797202797202797,0.2534965034965035,7562,6411,1476,1151,0.8477915895265803,0.19518645860883363,0.15220841047341974,20018,18547,2169,1471,0.9265161354780698,0.10835248276551104,0.07348386452193026
3,1999,3516,2632,1241,884,0.7485779294653014,0.3529579067121729,0.2514220705346985,7887,6639,1737,1248,0.8417649296310384,0.22023583111449221,0.1582350703689616,20716,18952,2570,1764,0.9148484263371307,0.12405869859046148,0.08515157366286928
4,2000,3873,2966,1554,907,0.7658146139943196,0.40123934934159566,0.23418538600568034,8376,7281,2483,1095,0.869269340974212,0.29644221585482333,0.13073065902578795,21522,19859,3407,1663,0.9227302295325713,0.15830313167921198,0.07726977046742868
5,2001,4520,3334,1270,1186,0.7376106194690265,0.2809734513274336,0.26238938053097344,9764,8184,1699,1580,0.8381810733306022,0.17400655469070053,0.1618189266693978,23266,21370,2196,1896,0.91850769363019,0.09438665864351414,0.08149230636981002
6,2002,4604,3386,1309,1218,0.7354474370112946,0.28431798436142486,0.2645525629887055,9883,8361,1811,1522,0.845998178690681,0.1832439542648993,0.15400182130931903,23566,21657,2259,1909,0.9189934651616736,0.09585844012560468,0.0810065348383264
7,2003,4695,3479,1371,1216,0.7410010649627263,0.29201277955271565,0.25899893503727367,10172,8557,1781,1615,0.8412308297286669,0.1750884781753834,0.15876917027133308,23916,22095,2228,1821,0.9238585047666834,0.09315939120254223,0.0761414952333166
8,2004,4850,3718,1439,1132,0.7665979381443299,0.29670103092783506,0.2334020618556701,10338,8767,2017,1571,0.8480363706713098,0.1951054362545947,0.15196362932869026,24323,22366,2209,1957,0.9195411750195288,0.09081938905562636,0.08045882498047116
9,2005,5157,3823,1402,1334,0.7413224743067675,0.2718634865231724,0.2586775256932325,10784,9083,2007,1701,0.8422663204747775,0.18610905044510387,0.15773367952522255,24575,22740,2182,1835,0.9253306205493388,0.08878942014242117,0.07466937945066124
10,2006,5225,3989,1515,1236,0.763444976076555,0.28995215311004785,0.23655502392344496,11090,9307,1940,1783,0.839224526600541,0.17493237150586113,0.16077547339945897,24922,23027,2173,1895,0.9239627638231281,0.08719203916218601,0.07603723617687184
