,year,total_previous_u_ties,persisted_u,new_u,dissolved_u,survival_rate_u,formation_rate_u,dissolution_rate_u,total_previous_r_ties,persisted_r,new_r,dissolved_r,survival_rate_r,formation_rate_r,dissolution_rate_r,total_previous_t_ties,persisted_t,new_t,dissolved_t,survival_rate_t,formation_rate_t,dissolution_rate_t,nodes_u,edges_u,clustering_u,density_u,reciprocity_u,transitivity_u,avg_path_length_u,nodes_r,edges_r,clustering_r,density_r,reciprocity_r,transitivity_r,avg_path_length_r,nodes_t,edges_t,clustering_t,density_t,reciprocity_t,transitivity_t,avg_path_length_t
0,1996,3191,2472,829,719,0.7746787840802256,0.25979316828580384,0.22532121591977436,7406,6318,1183,1088,0.8530920874966244,0.15973534971644612,0.14690791250337565,19347,17810,1973,1537,0.9205561585775572,0.10197963508554297,0.07944384142244276,177.0,3301.0,0.8255522433987447,0.10596430405752398,0.560436231445017,0.433637146873441,0.0027173655614375,182.0,7501.0,0.8851239854425145,0.227703235990529,0.615651246500467,0.550821511364635,0.0013820580882123,182.0,19783.0,0.9586734679957749,0.600540343634266,0.834352727088915,0.7986835132943481,0.0038462570578589005
1,1997,3301,2512,920,789,0.7609815207512874,0.27870342320508934,0.2390184792487125,7501,6315,1247,1186,0.8418877483002266,0.16624450073323557,0.15811225169977336,19783,18148,1870,1635,0.9173532831218724,0.09452560279027448,0.08264671687812769,178.0,3432.0,0.8515113063949774,0.108931632070082,0.567599067599068,0.44794173392678394,0.0043629224755247,182.0,7562.0,0.8926252268771588,0.22955497541132902,0.614916688706691,0.549224401719228,0.0014892637655966,182.0,20018.0,0.9602921469538245,0.607674093861939,0.8360475571985211,0.8004898694550021,0.0035278641248251
2,1998,3432,2562,954,870,0.7465034965034965,0.27797202797202797,0.2534965034965035,7562,6411,1476,1151,0.8477915895265803,0.19518645860883363,0.15220841047341974,20018,18547,2169,1471,0.9265161354780698,0.10835248276551104,0.07348386452193026,177.0,3516.0,0.8327212280970683,0.11286594761171,0.561433447098976,0.44610453000270006,0.014008436801376,182.0,7887.0,0.8850962364838666,0.239420800194281,0.624064916951946,0.558079484832223,0.0014540978602605003,182.0,20716.0,0.9620605591689557,0.628862849857325,0.8402201197142302,0.8152115655728571,0.0047831825632927
3,1999,3516,2632,1241,884,0.7485779294653014,0.3529579067121729,0.2514220705346985,7887,6639,1737,1248,0.8417649296310384,0.22023583111449221,0.1582350703689616,20716,18952,2570,1764,0.9148484263371307,0.12405869859046148,0.08515157366286928,182.0,3873.0,0.8307507478841779,0.117570275028839,0.575264652723987,0.44915925484766206,0.0087977882429357,184.0,8376.0,0.8895743305151358,0.24875267284390598,0.626074498567335,0.564657768396418,0.0013177985948476,184.0,21522.0,0.9661122150403558,0.639166072701354,0.843137254901961,0.822484778398562,0.0054332056307907
4,2000,3873,2966,1554,907,0.7658146139943196,0.40123934934159566,0.23418538600568034,8376,7281,2483,1095,0.869269340974212,0.29644221585482333,0.13073065902578795,21522,19859,3407,1663,0.9227302295325713,0.15830313167921198,0.07726977046742868,188.0,4520.0,0.8441176730775997,0.128569803163045,0.577433628318584,0.4633331900196341,0.0023414207617264,189.0,9764.0,0.9000893484962929,0.274794551390296,0.650348217943466,0.58703494891505,0.0005216396487669,189.0,23266.0,0.9669059288107832,0.65479004840707,0.850511475973524,0.829797388411024,0.0025705814477091
5,2001,4520,3334,1270,1186,0.7376106194690265,0.2809734513274336,0.26238938053097344,9764,8184,1699,1580,0.8381810733306022,0.17400655469070053,0.1618189266693978,23266,21370,2196,1896,0.91850769363019,0.09438665864351414,0.08149230636981002,188.0,4604.0,0.8334174786087484,0.130959153487314,0.577758470894874,0.46728797936819794,0.0017039252222254,189.0,9883.0,0.8952323731002954,0.278143645164922,0.658302134979257,0.590741298256177,0.0004779269390969,189.0,23566.0,0.9677707088034314,0.663233141956546,0.855639480607655,0.834929537648795,0.0027128306878306994
6,2002,4604,3386,1309,1218,0.7354474370112946,0.28431798436142486,0.2645525629887055,9883,8361,1811,1522,0.845998178690681,0.1832439542648993,0.15400182130931903,23566,21657,2259,1909,0.9189934651616736,0.09585844012560468,0.0810065348383264,189.0,4695.0,0.8349575260741317,0.132134414049308,0.582747603833866,0.47299433689764,0.012979873580066,189.0,10172.0,0.9048606881195517,0.286277158617584,0.667125442390877,0.597196361913898,0.0005386006111359,189.0,23916.0,0.968999057653397,0.673083417764269,0.862602441879913,0.8385473397848909,0.004877091072835
7,2003,4695,3479,1371,1216,0.7410010649627263,0.29201277955271565,0.25899893503727367,10172,8557,1781,1615,0.8412308297286669,0.1750884781753834,0.15876917027133308,23916,22095,2228,1821,0.9238585047666834,0.09315939120254223,0.0761414952333166,186.0,4850.0,0.8369539626051916,0.140947399011915,0.569072164948454,0.471794479895049,0.0389561341921312,189.0,10338.0,0.9001579529174799,0.290949003714961,0.660282453085703,0.603279630514597,0.0005087539610681,189.0,24323.0,0.9686833715857318,0.6845378813463919,0.859762364839863,0.846764810843536,0.0033350697962402
8,2004,4850,3718,1439,1132,0.7665979381443299,0.29670103092783506,0.2334020618556701,10338,8767,2017,1571,0.8480363706713098,0.1951054362545947,0.15196362932869026,24323,22366,2209,1957,0.9195411750195288,0.09081938905562636,0.08045882498047116,188.0,5157.0,0.8239328035840501,0.146689043122084,0.57863098700795,0.481134845050906,0.004906226409397,189.0,10784.0,0.8978876872128597,0.303501069458516,0.664317507418398,0.616025180369202,0.0004971621774555,189.0,24575.0,0.9684660316485815,0.6916300799279519,0.860467955239064,0.853366727826436,0.0054728441967803
9,2005,5157,3823,1402,1334,0.7413224743067675,0.2718634865231724,0.2586775256932325,10784,9083,2007,1701,0.8422663204747775,0.18610905044510387,0.15773367952522255,24575,22740,2182,1835,0.9253306205493388,0.08878942014242117,0.07466937945066124,189.0,5225.0,0.8411797226979512,0.147050545986716,0.586411483253588,0.490082972078497,0.0029851208459214,189.0,11090.0,0.8997947037262408,0.312113024878982,0.673399458972047,0.621869822485207,0.0004575059101652,189.0,24922.0,0.9711344821138046,0.7013959248001801,0.8658213626514731,0.85870422509689,0.0038579308792075
