iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,ABW,0,0,0,0,0,0,0,0,5.2253146,5.2253146,25.09353931,23.04722768
ABW,AFG,0,0,0,0,0,0,0,0,13257.814,13257.814,13168.22376,13166.36693
ABW,AGO,0,0,0,0,0,0,0,0,9516.9131,9516.9131,9587.315563,9584.193415
ABW,AIA,0,0,1,0,0,0,0,0,983.26825,983.26825,976.8973551,976.8915799
ABW,ALB,0,0,0,0,0,0,0,0,9091.7422,9091.7422,9091.575727,9091.465815
ABW,AND,0,1,0,0,0,0,0,0,7572.7881,7572.7881,7570.083551,7570.0831
ABW,ANT,0,1,1,0,1,0,0,1,136.3848,136.3848,239.9063803,142.8582946
ABW,ARE,0,0,0,0,0,0,0,0,12735.012,12735.012,12773.07971,12772.94847
ABW,ARG,0,1,0,0,0,0,0,0,5396.2197,5396.2197,5187.78757,5157.126156
ABW,ARM,0,0,0,0,0,0,0,0,11107.783,11107.783,11106.95838,11106.75612
ABW,ATG,0,0,1,0,0,0,0,0,1024.9948,1024.9948,1011.00265,1010.382808
ABW,AUS,0,0,1,0,0,0,0,0,15237.495,15354.32,15670.45895,15638.0955
ABW,AUT,0,0,0,0,0,0,0,0,8719.1299,8719.1299,8632.970803,8631.022183
ABW,AZE,0,0,0,0,0,0,0,0,11502.997,11502.997,11421.97885,11420.91065
ABW,BDI,0,0,0,0,0,0,0,0,11120.469,11120.469,11138.7448,11138.60964
ABW,BEL,0,1,1,0,0,0,0,0,7847.0703,7847.0703,7843.255154,7843.00647
ABW,BEN,0,0,0,0,0,0,0,0,7979.9453,8006.6973,7915.637507,7915.213713
ABW,BFA,0,0,0,0,0,0,0,0,7414.0161,7414.0161,7348.568278,7346.228357
ABW,BGD,0,0,0,0,0,0,0,0,15473.457,15473.457,15486.15953,15485.49866
ABW,BGR,0,0,0,0,0,0,0,0,9348.0391,9348.0391,9471.462071,9469.653842
ABW,BHR,0,0,0,0,0,0,0,0,12308.359,12308.359,12296.98976,12296.99013
ABW,BHS,0,0,1,0,0,0,0,0,1588.5146,1588.5146,1634.515002,1628.143362
ABW,BIH,0,0,0,0,0,0,0,0,8936.6641,8936.6641,8888.420461,8887.930947
ABW,BLR,0,0,0,0,0,0,0,0,9382.626,9382.626,9417.682534,9415.660297
ABW,BLZ,0,1,1,0,0,0,0,0,2076.2158,2076.2158,2062.071408,2061.482515
ABW,BMU,0,0,1,0,0,0,0,0,2263.7866,2263.7866,2275.43243,2275.412786
ABW,BOL,0,1,0,0,0,0,0,0,3240.2312,3560.6838,3366.75844,3353.866829
ABW,BRA,0,0,0,0,0,0,0,0,4759.6079,3988.9146,4431.571175,4272.204098
ABW,BRB,0,0,1,0,0,0,0,0,1139.2405,1139.2405,1127.651754,1127.615267
ABW,BRN,0,0,0,0,0,0,0,0,18008.871,18008.871,18042.74867,18042.71188
ABW,BTN,0,0,0,0,0,0,0,0,15070.868,15070.868,15106.37495,15106.24687
ABW,BWA,0,0,1,0,0,0,0,0,11196.276,11196.276,11178.82604,11177.60525
ABW,CAF,0,0,0,0,0,0,0,0,9771.96,9771.96,9729.200739,9725.599503
ABW,CAN,0,0,1,0,0,0,0,0,3573.8872,3696.783,4316.013141,4100.322827
ABW,CCK,0,0,1,0,0,0,0,0,18614.289,18614.289,,
ABW,CHE,0,0,0,0,0,0,0,0,8056.332,8056.332,8074.210134,8073.510308
ABW,CHL,0,1,0,0,0,0,0,0,5125.6802,5125.6802,5093.852148,5028.640948
ABW,CHN,0,0,0,0,0,0,0,0,14155.351,14155.351,14590.92433,14560.27647
ABW,CIV,0,0,0,0,0,0,0,0,7293.8833,7124.6274,7194.49568,7192.19007
ABW,CMR,0,0,1,0,0,0,0,0,9014.291,9014.291,8947.10412,8944.591494
ABW,COG,0,0,0,0,0,0,0,0,9613.9014,9613.9014,9476.891102,9474.113294
ABW,COK,0,0,1,0,0,0,0,0,10484.673,10484.673,10477.74133,10477.08265
ABW,COL,0,1,0,0,0,0,0,0,1036.6342,1036.6342,929.5887088,861.2452304
ABW,COM,0,0,0,0,0,0,0,0,12802.653,12802.653,12838.99854,12838.67092
ABW,CPV,0,0,0,0,0,0,0,0,5036.3857,5036.3857,4961.886208,4960.570704
ABW,CRI,0,1,0,0,0,0,0,0,1550.7723,1550.7723,1572.262919,1570.80441
ABW,CUB,0,1,0,0,0,0,0,0,1754.7382,1754.7382,1485.847517,1417.220831
ABW,CXR,0,0,1,0,0,0,0,0,19519.52,19519.52,,
ABW,CYM,0,0,1,0,0,0,0,0,1421.3784,1421.3784,1436.749575,1436.671797
ABW,CYP,0,0,0,0,0,0,0,0,10403.22,10403.22,10398.70097,10398.61458
ABW,CZE,0,0,0,0,0,0,0,0,8560.8994,8560.8994,8638.35465,8636.669706
ABW,DEU,0,0,0,0,0,0,0,0,8034.3892,8474.6064,8231.708192,8228.114897
ABW,DJI,0,0,0,0,0,0,0,0,12186.874,12186.874,12175.09079,12175.08064
ABW,DMA,0,0,1,0,0,0,0,0,989.98834,989.98834,984.1060054,984.0394481
ABW,DNK,0,0,0,0,0,0,0,0,8408.5898,8408.5898,8331.91737,8331.029084
ABW,DOM,0,1,0,0,0,0,0,0,663.0993,663.0993,699.2701453,695.8729381
ABW,DZA,0,0,0,0,0,0,0,0,7686.4067,7686.4067,7710.016822,7701.793287
ABW,ECU,0,1,0,0,0,0,0,0,1698.3993,1698.3993,1873.770441,1863.843658
ABW,EGY,0,0,1,0,0,0,0,0,10383.609,10383.609,10362.26581,10361.41077
ABW,ERI,0,0,1,0,0,0,0,0,11620.09,11620.09,11668.22376,11666.29452
ABW,ESH,0,0,0,0,0,0,0,0,6124.0127,6124.0127,6084.671166,6081.951393
ABW,ESP,0,1,0,0,0,0,0,0,7121.5244,7121.5244,7186.835199,7171.04388
ABW,EST,0,0,0,0,0,0,0,0,9088.5117,9088.5117,9140.628731,9140.022393
ABW,ETH,0,0,0,0,0,0,0,0,11817.333,11817.333,11800.58829,11799.44971
ABW,FIN,0,0,0,0,0,0,0,0,9087.5635,9087.5635,9056.373468,9055.602031
ABW,FJI,0,0,1,0,0,0,0,0,12692.412,12692.412,12718.23779,12717.94746
ABW,FLK,0,0,1,0,0,0,0,0,7248.1436,7248.1436,7245.113194,7244.385526
ABW,FRA,0,0,0,0,0,0,0,0,7685.8838,7685.8838,7716.751837,7711.830088
ABW,FRO,0,0,0,0,0,0,0,0,7410.5073,7410.5073,7411.007625,7410.993986
ABW,FSM,0,0,1,0,0,0,0,0,14263.712,14263.712,14778.64116,14760.91782
ABW,GAB,0,0,0,0,0,0,0,0,8868.9268,8868.9268,8929.760926,8927.159095
ABW,GBR,0,0,1,0,0,0,0,0,7541.2427,7541.2427,7480.796475,7479.964233
ABW,GEO,0,0,0,0,0,0,0,0,11056.94,11056.94,10965.28105,10963.96942
ABW,GHA,0,0,1,0,0,0,0,0,7697.9443,7697.9443,7620.655882,7619.561449
ABW,GIB,0,1,1,0,0,0,0,0,6937.0156,6937.0156,6930.323545,6930.323147
ABW,GIN,0,0,0,0,0,0,0,0,5940.8125,5940.8125,6247.763074,6242.909294
ABW,GLP,0,0,0,0,0,0,0,0,980.5495,980.5495,999.6448754,999.3907148
ABW,GMB,0,0,1,0,0,0,0,0,5785.5024,5785.5024,5805.389842,5804.387901
ABW,GNB,0,0,0,0,0,0,0,0,5912.7358,5912.7358,5917.131878,5916.900768
ABW,GNQ,0,1,0,0,0,0,0,0,8721.6025,8721.6025,8801.053465,8799.838463
ABW,GRC,0,0,0,0,0,0,0,0,9491.1572,9491.1572,9457.369695,9456.785813
ABW,GRD,0,0,1,0,0,0,0,0,911.34802,911.34802,902.1114632,902.0080265
ABW,GRL,0,0,0,0,0,0,0,0,5921.0059,5921.0059,6174.272165,6151.55553
ABW,GTM,0,1,0,0,0,0,0,0,2220.0676,2220.0676,2252.725525,2251.408525
ABW,GUF,0,0,0,0,0,0,0,0,2128.7905,2128.7905,2061.801391,2057.79899
ABW,GUY,0,0,1,0,0,0,0,0,1458.4059,1458.4059,1463.903271,1462.418843
ABW,HKG,0,0,1,0,0,0,0,0,16131.13,16131.13,16132.21411,16132.20793
ABW,HND,0,1,0,0,0,0,0,0,1863.0504,1863.0504,1921.080462,1918.601683
ABW,HRV,0,0,0,0,0,0,0,0,8716.8682,8716.8682,8740.688607,8739.73175
ABW,HTI,0,0,0,0,0,0,0,0,709.38782,709.38782,741.588724,739.2159866
ABW,HUN,0,0,0,0,0,0,0,0,8927.6357,8927.6357,8940.499546,8939.645881
ABW,IDN,0,0,0,0,1,0,0,0,19240.393,19240.393,19054.8475,19043.13895
ABW,IND,0,0,1,0,0,0,0,0,14258.173,14258.173,14750.65835,14736.86009
ABW,IRL,0,0,1,0,0,0,0,0,7174.0166,7174.0166,7123.465476,7122.625543
ABW,IRN,0,0,0,0,0,0,0,0,11880.18,11880.18,11939.98329,11930.09341
ABW,IRQ,0,0,0,0,0,0,0,0,11426.339,11426.339,11443.27222,11440.45828
ABW,ISL,0,0,0,0,0,0,0,0,6827.2202,6827.2202,6857.101181,6856.185647
ABW,ISR,0,0,1,0,0,0,0,0,10635.04,10635.04,10642.41798,10642.38097
ABW,ITA,0,0,0,0,0,0,0,0,8480.1328,8480.1328,8427.789375,8422.342767
ABW,JAM,0,0,1,0,0,0,0,0,938.35114,938.35114,977.9513464,976.2388124
ABW,JOR,0,0,1,0,0,0,0,0,10744.009,10744.009,10735.07689,10735.06267
ABW,JPN,0,0,0,0,0,0,0,0,13815.841,13815.841,13944.01009,13937.18776
ABW,KAZ,0,0,0,0,0,0,0,0,12977.214,12028.064,12272.96734,12246.68401
ABW,KEN,0,0,1,0,0,0,0,0,11887.174,11887.174,11902.33997,11899.19801
ABW,KGZ,0,0,0,0,0,0,0,0,12891.457,12891.457,12931.07989,12930.7517
ABW,KHM,0,0,0,0,0,0,0,0,17292.002,17292.002,17255.06311,17254.56651
ABW,KIR,0,0,1,0,0,0,0,0,12879.521,12879.521,12784.47015,12752.66618
ABW,KNA,0,0,1,0,0,0,0,0,952.67194,952.67194,1383.822179,976.5086579
ABW,KOR,0,0,1,0,0,0,0,0,14183.604,14183.604,14259.76646,14259.24252
ABW,KWT,0,0,1,0,0,0,0,0,11922.281,11922.281,11920.18922,11920.18034
ABW,LAO,0,0,0,0,0,0,0,0,16543.053,16543.053,16573.99447,16570.50254
ABW,LBN,0,0,1,0,0,0,0,0,10635.638,10635.638,10634.89953,10634.88491
ABW,LBR,0,0,1,0,0,0,0,0,6538.7207,6538.7207,6573.055802,6571.486044
ABW,LBY,0,0,0,0,0,0,0,0,8638.4834,8638.4834,8900.734592,8887.954877
ABW,LCA,0,0,1,0,0,0,0,0,1000.8457,1000.8457,989.2424757,989.2025902
ABW,LKA,0,0,0,0,0,0,0,0,16067.563,16067.563,16049.49704,16049.17953
ABW,LSO,0,0,1,0,0,0,0,0,11423.006,11423.006,11425.87952,11425.76857
ABW,LTU,0,0,0,0,0,0,0,0,9223.9092,9223.9092,9122.045166,9121.059323
ABW,LUX,0,0,0,0,0,0,0,0,7967.7109,7967.7109,7957.687149,7957.678252
ABW,LVA,0,0,0,0,0,0,0,0,9100.9482,9100.9482,9111.285723,9110.400093
ABW,MAC,0,0,0,0,0,0,0,0,16137.888,16137.888,,
ABW,MAR,0,0,0,0,0,0,0,0,6782.7393,6782.7393,6777.430812,6773.627168
ABW,MDA,0,0,0,0,0,0,0,0,9662.5479,9662.5479,9653.516884,9653.259361
ABW,MDG,0,0,0,0,0,0,0,0,13342.618,13342.618,13328.06937,13326.89231
