"","Estimates_r_h","lCI_r_h","odds_r_h","uCI_r_h","pvals_r_h","model_terms_h"
"1",0.0150756648009394,0.9734,1.0152,1.0588,0.482530769452491,"Form(1)~nodecov.D_log_gdp_pct"
"2",-0.215551245070977,0.7595,0.8061,0.8555,1.24210264677147e-12,"Form(1)~absdiff.D_log_gdp_pct"
"3",0.404981105122098,1.4527,1.4993,1.5474,2.3547936020992e-139,"Form(1)~mix.development.1.0"
"4",-0.0468728488569949,0.9296,0.9542,0.9795,0.000442984937709785,"Form(1)~mix.development.0.1"
"5",-0.0483242839905106,0.8784,0.9528,1.0336,0.244562117186586,"Form(1)~mix.development.1.1"
"6",2.61345286975598,13.0242,13.6461,14.2977,0,"Form(1)~edgecov.net_dynamic_hyst_r"
"7",0.315697870557033,1.3372,1.3712,1.406,2.76658041558023e-134,"Form(1)~edgecov.net_dynamic_rta"
"8",-0.0445054100893047,0.9378,0.9565,0.9755,9.79095119683177e-06,"Form(1)~nodematch.landlocked"
"9",-0.518282565575381,0.5923,0.5955,0.5988,0,"Form(1)~edgecov.log_dist"
"10",0.376597719729938,1.2541,1.4573,1.6935,8.97354369988268e-07,"Form(1)~edgecov.contig_mat"
"11",0.217170761917444,0.9643,1.2426,1.6011,0.093189425011891,"Form(1)~edgecov.colony"
"12",-0.0915463626650674,0.8821,0.9125,0.944,1.24597967656328e-07,"Form(1)~edgecov.col_mat"
"13",0.0510657453365547,1.0206,1.0524,1.0852,0.00112443981116754,"Form(1)~edgecov.lang_mat"
"14",0.933916595957926,2.4883,2.5445,2.6019,0,"Form(1)~mutual"
"15",0.0821740229623664,1.0403,1.0856,1.133,0.00016330124615929,"Persist(1)~nodecov.D_log_gdp_pct"
"16",-0.17338819380452,0.7914,0.8408,0.8933,2.08901767699491e-08,"Persist(1)~absdiff.D_log_gdp_pct"
"17",1.35310911085364,3.754,3.8694,3.9884,0,"Persist(1)~mix.development.1.0"
"18",-0.095114410635855,0.885,0.9093,0.9342,5.97351783188166e-12,"Persist(1)~mix.development.0.1"
"19",1.43957356695334,3.9308,4.2189,4.5281,0,"Persist(1)~mix.development.1.1"
"20",0.5019805146723,1.469,1.652,1.8578,5.42340212134008e-17,"Persist(1)~edgecov.net_dynamic_hyst_r"
"21",0.455535364644592,1.5395,1.577,1.6154,7.18586590131011e-301,"Persist(1)~edgecov.net_dynamic_rta"
"22",0.162505184426868,1.1511,1.1765,1.2024,2.42623871020957e-48,"Persist(1)~nodematch.landlocked"
"23",0.00186868229412537,0.9889,1.0019,1.015,0.778995309619242,"Persist(1)~edgecov.log_dist"
"24",1.25493678236686,3.0745,3.5076,4.0017,1.20131406926063e-77,"Persist(1)~edgecov.contig_mat"
"25",1.50818912972425,3.6716,4.5185,5.5609,5.74839767904964e-46,"Persist(1)~edgecov.colony"
"26",-0.138229970817085,0.8422,0.8709,0.9006,6.36908018603427e-16,"Persist(1)~edgecov.col_mat"
"27",0.10236170282655,1.0755,1.1078,1.1411,1.2490945703826e-11,"Persist(1)~edgecov.lang_mat"
"28",1.63564492261239,5.01,5.1328,5.2586,0,"Persist(1)~mutual"
