"","est_t_h","lci_t_h","odds_t_h","uci_t_h","pvals_t_h","model_terms"
"1",0,1.0272,1.0766,1.1285,0.00208518324438939,"Form(1)~nodecov.D_log_gdp_pct"
"2",0,0.7617,0.8114,0.8642,8.62168939112072e-11,"Form(1)~absdiff.D_log_gdp_pct"
"3",0,0.8941,0.929,0.9653,0.000163496247060715,"Form(1)~mix.development.1.0"
"4",0,1.018,1.0543,1.092,0.0031005645782944,"Form(1)~mix.development.0.1"
"5",0,0.761,0.8466,0.942,0.00222869988356653,"Form(1)~mix.development.1.1"
"6",2,9.8409,10.4393,11.0741,0,"Form(1)~edgecov.net_dynamic_hyst_t"
"7",0,1.3899,1.4425,1.4972,5.18459161512437e-83,"Form(1)~edgecov.net_dynamic_rta"
"8",0,0.9199,0.9402,0.9609,2.95740269516239e-08,"Form(1)~nodematch.landlocked"
"9",0,0.6337,0.638,0.6423,0,"Form(1)~edgecov.log_dist"
"10",0,0.6164,0.8067,1.0556,0.117478687865541,"Form(1)~edgecov.contig_mat"
"11",0,0.9413,1.5751,2.6356,0.0837308147133154,"Form(1)~edgecov.colony"
"12",0,0.9311,0.9656,1.0013,0.058491272042453,"Form(1)~edgecov.col_mat"
"13",0,0.9502,0.9825,1.016,0.302740788322175,"Form(1)~edgecov.lang_mat"
"14",1,2.4565,2.519,2.5831,0,"Form(1)~mutual"
"15",0,0.9691,1.0137,1.0603,0.553432510951794,"Persist(1)~nodecov.D_log_gdp_pct"
"16",0,0.8924,0.9493,1.0098,0.0993045523483143,"Persist(1)~absdiff.D_log_gdp_pct"
"17",1,2.4655,2.5562,2.6501,0,"Persist(1)~mix.development.1.0"
"18",0,1.5461,1.5939,1.6432,2.21188726710849e-197,"Persist(1)~mix.development.0.1"
"19",1,3.2201,3.5224,3.8532,2.90205435251405e-166,"Persist(1)~mix.development.1.1"
"20",1,2.4535,2.7775,3.1443,1.50156838445682e-58,"Persist(1)~edgecov.net_dynamic_hyst_t"
"21",1,2.0439,2.1093,2.1768,0,"Persist(1)~edgecov.net_dynamic_rta"
"22",0,1.1702,1.1955,1.2213,2.38968282314598e-60,"Persist(1)~nodematch.landlocked"
"23",0,0.9636,0.9771,0.9908,0.00109715997853409,"Persist(1)~edgecov.log_dist"
"24",2,4.3687,5.5953,7.1663,2.66421128172961e-42,"Persist(1)~edgecov.contig_mat"
"25",2,5.6825,8.7551,13.4893,8.22099680217263e-23,"Persist(1)~edgecov.colony"
"26",0,0.8823,0.9116,0.942,3.14897507702692e-08,"Persist(1)~edgecov.col_mat"
"27",0,0.9167,0.9449,0.974,0.000247659634801715,"Persist(1)~edgecov.lang_mat"
"28",2,6.2146,6.3641,6.5172,0,"Persist(1)~mutual"
