"","est_u","lci_u","odds_u","uci_u","pvals_u","model_terms"
"1",-3.88057670265344,0.0183,0.0206,0.0233,0,"Form(1)~edges"
"2",0.202863961265238,1.0646,1.2249,1.4093,0.00458535310952764,"Form(1)~nodecov.D_log_gdp_pc"
"3",-1.9773030121752,0.1111,0.1384,0.1726,2.97389430472416e-69,"Form(1)~absdiff.D_log_gdp_pc"
"4",0.433797180039208,1.4999,1.5431,1.5876,1.708543347892e-196,"Form(1)~mix.development.1.0"
"5",0.897855253827915,2.391,2.4543,2.5194,0,"Form(1)~mix.development.0.1"
"6",0.969695571771295,2.5307,2.6371,2.748,0,"Form(1)~mix.development.1.1"
"7",0.542556990051839,1.6836,1.7204,1.758,0,"Form(1)~edgecov.net_dynamic_rta"
"8",0.125914776547654,1.1089,1.1342,1.16,6.36370901655284e-28,"Form(1)~nodematch.landlocked"
"9",-0.0146745360749122,0.9724,0.9854,0.9987,0.0310410279008591,"Form(1)~edgecov.log_dist"
"10",0.955791922389062,2.4392,2.6007,2.773,2.58015663716911e-187,"Form(1)~edgecov.contig_mat"
"11",0.676736000029863,1.8073,1.9674,2.1418,5.97754393404765e-55,"Form(1)~edgecov.colony"
"12",-0.226494677517897,0.7687,0.7973,0.827,5.88262053488041e-34,"Form(1)~edgecov.col_mat"
"13",0.359425164289495,1.3924,1.4325,1.4738,6.98586650774544e-136,"Form(1)~edgecov.lang_mat"
"14",1.93653651533509,6.7628,6.9347,7.111,0,"Form(1)~mutual"
"15",-0.240589575858139,0.6813,0.7862,0.9071,0.000989844473969553,"Persist(1)~edges"
"16",0.945114555555908,2.1939,2.5731,3.0179,3.53316266381301e-31,"Persist(1)~nodecov.D_log_gdp_pc"
"17",-0.784829166323121,0.3542,0.4562,0.5876,1.23945951812809e-09,"Persist(1)~absdiff.D_log_gdp_pc"
"18",0.11985670481279,1.0897,1.1273,1.1663,4.85220888118693e-12,"Persist(1)~mix.development.1.0"
"19",0.529294220433267,1.6435,1.6977,1.7538,6.46612607217622e-224,"Persist(1)~mix.development.0.1"
"20",0.974370928386181,2.5296,2.6495,2.7751,0,"Persist(1)~mix.development.1.1"
"21",0.0691930922590623,1.045,1.0716,1.099,7.49904294821128e-08,"Persist(1)~edgecov.net_dynamic_rta"
"22",0.254191108480516,1.2543,1.2894,1.3256,1.53102597927673e-72,"Persist(1)~nodematch.landlocked"
"23",0.0113573163350666,0.9954,1.0114,1.0277,0.16297380707596,"Persist(1)~edgecov.log_dist"
"24",0.488668772264509,1.5281,1.6301,1.739,1.36501366586877e-49,"Persist(1)~edgecov.contig_mat"
"25",0.62151780993649,1.7208,1.8618,2.0142,5.70852934513431e-54,"Persist(1)~edgecov.colony"
"26",-0.233023755276103,0.7575,0.7921,0.8284,1.88408890887123e-24,"Persist(1)~edgecov.col_mat"
"27",0.147318084029382,1.1214,1.1587,1.1973,1.25819731303681e-18,"Persist(1)~edgecov.lang_mat"
"28",1.54373744451836,4.5403,4.6821,4.8282,0,"Persist(1)~mutual"
